beh_table_id,dur,bf_rate,zuz_take_up,provenance
base,1,0.0400,0.7000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,2,0.0400,0.7000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,3,0.0400,0.7000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,4,0.0400,0.7000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,5,0.0400,0.7000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,6,0.0300,0.8500,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,7,0.0300,0.8500,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,8,0.0300,0.8500,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,9,0.0300,0.8500,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,10,0.0300,0.8500,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,11,0.0200,0.8500,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,12,0.0200,0.8500,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,13,0.0200,0.8500,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,14,0.0200,0.8500,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,15,0.0200,0.8500,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,16,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,17,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,18,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,19,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,20,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,21,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,22,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,23,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,24,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,25,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,26,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,27,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,28,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
base,29,0.0200,0.9000,"[std] Beitragsfreistellung rate 4.0 pct policy years 1-5, 3.0 pct 6-10, 2.0 pct 11+, and Zuzahlung take-up 0.70 policy years 1-5, 0.85 6-15, 0.90 16+. dur is the policy year, duration(t) + 1. The shape is argued from the product's structure [R14]; no German insurer publishes either series (gap 3), so the levels are invented"
