age,qx,trend,provenance
20,0.0003026428,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
21,0.0003283674,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
22,0.0003562787,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
23,0.0003865624,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
24,0.0004194202,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
25,0.0004550709,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
26,0.0004937519,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
27,0.0005357208,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
28,0.0005812571,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
29,0.0006306639,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
30,0.0006842704,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
31,0.0007424333,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
32,0.0008055402,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
33,0.0008740111,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
34,0.0009483020,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
35,0.0010289077,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
36,0.0011163648,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
37,0.0012112559,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
38,0.0013142126,0.015,"[std] DAV 2004 R-shaped first-order proxy qx = 0.014000 x 1.085^(age-67), capped at 1.0 and anchored at qx(67) = 0.014000; generational trend 1.5 pct p.a. from mort_base_year 2005. DAV 2004 R is proprietary and is not redistributed [R17] [REG-R47] [REG-R49]"
