scenario_id,t,decl_rate,ann_bonus_rate,provenance
base,0,0.0260,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,1,0.0260,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,2,0.0260,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,3,0.0260,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,4,0.0260,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,5,0.0260,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,6,0.0260,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,7,0.0260,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,8,0.0260,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,9,0.0260,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,10,0.0240,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,11,0.0240,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,12,0.0240,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,13,0.0240,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
base,14,0.0240,0.0100,"[std] declared laufende Verzinsung, base scenario: 2.60 pct t 1-10, 2.40 pct t 11-20, 2.20 pct thereafter; the total credited rate including the Rechnungszins, not a spread over it [R15] [R16] [REG-R24]. Ueberschussrente uplift 1.0 pct p.a., a teildynamische Rente [R15]"
