age,inc_rate,provenance
18,0.000546666,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
19,0.000579466,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
20,0.000614234,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
21,0.000651088,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
22,0.000690154,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
23,0.000731563,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
24,0.000775457,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
25,0.000821984,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
26,0.000871303,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
27,0.000923581,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
28,0.000978996,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
29,0.001037736,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
30,0.001100000,[std] anchor of the proxy and of the worked example: i(30) = 0.001100 exactly; a replacement table must preserve this rate [R16]
31,0.001166000,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
32,0.001235960,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
33,0.001310118,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
34,0.001388725,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
35,0.001472048,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
36,0.001560371,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
37,0.001653993,"[std] two-slope Gompertz proxy 0.00110 x 1.06^(min(x,45)-30) x 1.13^(max(x,45)-45); DAV 1997 I is DAV property and is not shipped [R16]"
