age,mort_rate_actv,mort_rate_dis,provenance
18,0.000117787,0.000471148,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
19,0.000128977,0.000515908,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
20,0.000141230,0.000564920,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
21,0.000154647,0.000618588,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
22,0.000169338,0.000677352,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
23,0.000185425,0.000741700,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
24,0.000203041,0.000812164,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
25,0.000222330,0.000889320,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
26,0.000243451,0.000973804,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
27,0.000266579,0.001066316,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
28,0.000291904,0.001167616,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
29,0.000319635,0.001278540,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
30,0.000350000,0.001400000,"[std] anchor of both proxies and of the worked example: mort_rate_actv(30) = 0.000350, disabled exactly 4.00x it [R17] [R16]"
31,0.000383250,0.001533000,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
32,0.000419659,0.001678636,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
33,0.000459526,0.001838104,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
34,0.000503181,0.002012724,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
35,0.000550984,0.002203936,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
36,0.000603327,0.002413308,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
37,0.000660643,0.002642572,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
38,0.000723404,0.002893616,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
39,0.000792128,0.003168512,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
40,0.000867380,0.003469520,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
41,0.000949781,0.003799124,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
42,0.001040010,0.004160040,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
43,0.001138811,0.004555244,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
44,0.001246998,0.004987992,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
45,0.001365463,0.005461852,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
46,0.001495182,0.005980728,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
47,0.001637224,0.006548896,[std] Gompertz proxies 0.00035 x 1.095^(age-30) active and 4.00x that disabled; DAV 2008 T [R17] and DAV 1997 TI [R16] are not shipped
