policy_year,lapse_rate,provenance
1,0.06,[std] no German unit-linked Stornoquote established; years 1-5 front-loaded while the acquisition charge is taken [R1] [R2] [REG-R45]
2,0.06,[std] no German unit-linked Stornoquote established; years 1-5 front-loaded while the acquisition charge is taken [R1] [R2] [REG-R45]
3,0.06,[std] no German unit-linked Stornoquote established; years 1-5 front-loaded while the acquisition charge is taken [R1] [R2] [REG-R45]
4,0.06,[std] no German unit-linked Stornoquote established; years 1-5 front-loaded while the acquisition charge is taken [R1] [R2] [REG-R45]
5,0.06,[std] no German unit-linked Stornoquote established; years 1-5 front-loaded while the acquisition charge is taken [R1] [R2] [REG-R45]
6,0.03,[std] no German unit-linked Stornoquote established; years 6-10 level [R1] [R2] [REG-R45]
7,0.03,[std] no German unit-linked Stornoquote established; years 6-10 level [R1] [R2] [REG-R45]
8,0.03,[std] no German unit-linked Stornoquote established; years 6-10 level [R1] [R2] [REG-R45]
9,0.03,[std] no German unit-linked Stornoquote established; years 6-10 level [R1] [R2] [REG-R45]
10,0.03,[std] no German unit-linked Stornoquote established; years 6-10 level [R1] [R2] [REG-R45]
11,0.02,[std] no German unit-linked Stornoquote established; years 11-12 suppressed as the 12-year tax threshold approaches [R1] [R2] [REG-R45]
12,0.02,[std] no German unit-linked Stornoquote established; years 11-12 suppressed as the 12-year tax threshold approaches [R1] [R2] [REG-R45]
13,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
14,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
15,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
16,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
17,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
18,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
19,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
20,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
21,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
22,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
23,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
24,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
25,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
26,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
27,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
28,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
29,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
30,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
31,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
32,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
33,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
34,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
35,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
36,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
37,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
38,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
39,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
40,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
41,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
42,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
43,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
44,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
45,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
46,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
47,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
48,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
49,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
50,0.03,[std] no German unit-linked Stornoquote established; year 13+ level [R1] [R2] [REG-R45]
