point_id,policy_id,sex,entry_age,duration_init_m,pols_if_init,annuity_age,prem_form,prem_pp,prem_mode_months,prem_term_y,dynamik_rate,pup_month,db_form,db_pct,sum_assured,charge_id,scenario_id,rentenfaktor_id,unit_price_init,units_init,cum_prem_init,topup_month,topup_amount,wd_month,wd_amount,ablauf_flag,kapitalwahl
1,DE-FRV-0001,M,37,0,1.0,67,laufend,200.0,1,30,0.0,0,prem_return,0.0,0.0,std_gross,base,std_2026,100.0,0.0,0.0,0,0.0,0,0.0,False,False
2,DE-FRV-0002,F,50,0,1.0,67,einmal,50000.0,1,0,0.0,0,fund,0.0,0.0,std_gross,base,std_2026,100.0,0.0,0.0,0,0.0,0,0.0,False,False
3,DE-FRV-0003,M,30,0,1.0,67,laufend,600.0,3,37,0.0,0,prem_return,0.0,0.0,std_gross,base,std_2026,100.0,0.0,0.0,0,0.0,0,0.0,False,False
4,DE-FRV-0004,F,45,0,1.0,67,laufend,1200.0,6,22,0.0,0,pct_fund,1.1,0.0,std_gross,base,std_2026,100.0,0.0,0.0,0,0.0,0,0.0,False,False
5,DE-FRV-0005,M,25,0,1.0,67,laufend,3000.0,12,42,0.0,0,prem_return,0.0,0.0,std_high,base,std_2026,100.0,0.0,0.0,0,0.0,0,0.0,False,False
6,DE-FRV-0006,M,30,96,1.0,67,laufend,250.0,1,37,0.0,0,prem_return,0.0,0.0,std_gross,base,std_2026,118.4,190.0,24000.0,0,0.0,0,0.0,False,False
7,DE-FRV-0007,F,40,0,1.0,67,laufend,250.0,1,27,0.0,120,sum_assured,0.0,40000.0,std_gross,zero,std_2026,100.0,0.0,0.0,0,0.0,0,0.0,False,False
8,DE-FRV-0008,M,47,0,1.0,67,laufend,400.0,1,20,0.0,0,prem_return,0.0,0.0,std_gross,base,std_2026,100.0,0.0,0.0,0,0.0,0,0.0,True,False
9,DE-FRV-0009,F,35,0,1.0,67,laufend,300.0,1,32,0.0,0,prem_return,0.0,0.0,std_gross,base,std_2026,100.0,0.0,0.0,120,20000.0,240,15000.0,False,False
10,DE-FRV-0010,M,28,0,1.0,67,laufend,150.0,1,39,0.03,0,prem_return,0.0,0.0,std_gross,base,std_2026,100.0,0.0,0.0,0,0.0,0,0.0,False,False
11,DE-FRV-0011,F,35,0,1.0,67,laufend,300.0,1,32,0.0,0,prem_return,0.0,0.0,std_netto,etf,std_2026,100.0,0.0,0.0,0,0.0,0,0.0,False,False
12,DE-FRV-0012,M,55,0,1.0,67,laufend,500.0,1,2,0.0,0,pct_fund,1.1,0.0,std_gross,stress,std_2026,100.0,0.0,0.0,0,0.0,0,0.0,False,False
13,DE-FRV-0013,F,42,0,1.0,70,laufend,250.0,1,28,0.0,0,fund,0.0,0.0,std_low,base,rich_current,100.0,0.0,0.0,0,0.0,0,0.0,False,True
