age,qx_tariff,provenance
18,0.000130806393,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
19,0.000143887032,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
20,0.000158275735,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
21,0.000174103309,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
22,0.000191513639,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
23,0.000210665003,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
24,0.000231731504,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
25,0.000254904654,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
26,0.00028039512,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
27,0.000308434632,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
28,0.000339278095,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
29,0.000373205904,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
30,0.000410526495,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
31,0.000451579144,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
32,0.000496737058,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
33,0.000546410764,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
34,0.000601051841,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
35,0.000661157025,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
36,0.000727272727,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
37,0.0008,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
38,0.00088,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
39,0.000968,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
40,0.0010648,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
41,0.00117128,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
42,0.001288408,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
43,0.0014172488,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
44,0.00155897368,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
45,0.001714871048,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
46,0.001886358153,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
47,0.002074993968,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
48,0.002282493365,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
49,0.002510742701,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
50,0.002761816972,[std] DAV 2008 T first-order proxy 0.00080 x 1.10^(age-37) anchored q(37)=0.00080 [R17] [REG-R48]
