factor_id,annuity_age,rentenfaktor_guar,rentenfaktor_curr,provenance
std_2026,60,21.598272,21.598272,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,61,22.026432,22.026432,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,62,22.47191,22.47191,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,63,22.93578,22.93578,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,64,23.419204,23.419204,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,65,23.923445,23.923445,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,66,24.449878,24.449878,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,67,25.0,25.0,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,68,25.575448,25.575448,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
std_2026,69,26.17801,26.17801,[std] derived not observed: R(x) = 10000 / (12 x T_eff(x)) with T_eff(x) = 100/3 - 0.75 (x - 67) at a 0% Rechnungszins [S10] [R16] [R22] [REG-R49]; current factor set equal to the guaranteed one
