index_id,t,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,provenance
eqidx_vol17,0,0.0346,-0.0111,0.0386,0.0020,-0.0394,0.0280,0.0593,0.0188,0.0247,0.0025,0.0521,-0.0251,"[std] eqidx_vol17 -- default_rng(20260829).normal(0.0060,0.0500) rounded 4dp; equity price index, monthly sd 5.00 pct"
eqidx_vol17,1,-0.0302,-0.0057,0.0768,0.0440,0.0247,-0.0663,0.0444,-0.0107,-0.0468,0.0301,0.0307,0.0386,"[std] eqidx_vol17 -- default_rng(20260829).normal(0.0060,0.0500) rounded 4dp; equity price index, monthly sd 5.00 pct"
eqidx_vol17,2,0.0059,0.0263,0.0047,-0.0209,0.0867,-0.0099,-0.0269,0.0414,-0.0335,0.1126,0.0236,-0.0076,"[std] eqidx_vol17 -- default_rng(20260829).normal(0.0060,0.0500) rounded 4dp; equity price index, monthly sd 5.00 pct"
eqidx_vol17,3,0.0342,0.0422,0.0603,-0.0181,0.0230,0.1227,0.0307,0.1132,0.0387,-0.0166,0.0603,-0.0058,"[std] eqidx_vol17 -- default_rng(20260829).normal(0.0060,0.0500) rounded 4dp; equity price index, monthly sd 5.00 pct"
eqidx_vol17,4,-0.0168,0.0381,0.0882,0.0205,-0.1063,-0.0250,-0.0161,-0.0216,-0.0065,-0.0030,0.0083,0.0197,"[std] eqidx_vol17 -- default_rng(20260829).normal(0.0060,0.0500) rounded 4dp; equity price index, monthly sd 5.00 pct"
eqidx_vol17,5,-0.0551,0.0014,-0.0061,0.0028,0.0138,0.0461,0.0217,-0.0267,0.0108,-0.0422,0.0435,0.0240,"[std] eqidx_vol17 -- default_rng(20260829).normal(0.0060,0.0500) rounded 4dp; equity price index, monthly sd 5.00 pct"
eqidx_vol17,6,-0.0580,-0.1196,0.0623,0.0642,0.0522,0.0445,0.0364,-0.0921,0.0331,-0.0322,-0.0094,-0.0001,"[std] eqidx_vol17 -- default_rng(20260829).normal(0.0060,0.0500) rounded 4dp; equity price index, monthly sd 5.00 pct"
eqidx_vol17,7,0.0153,-0.0485,-0.0200,0.0189,-0.0588,0.0185,-0.0112,-0.0947,-0.0461,0.0045,0.0309,0.0020,"[std] eqidx_vol17 -- default_rng(20260829).normal(0.0060,0.0500) rounded 4dp; equity price index, monthly sd 5.00 pct"
eqidx_vol17,8,0.0180,-0.0240,0.0460,0.0090,-0.0370,0.0220,0.0340,-0.0110,0.0040,0.0520,-0.0080,0.0260,"[std] research section 19 Example A -- the strong Indexjahr, sum of capped returns +8.90 pct"
eqidx_vol17,9,0.0650,-0.0210,0.0580,-0.0190,-0.0240,0.0420,-0.0310,0.0060,-0.0280,0.0510,-0.0170,-0.0120,[std] research section 19 Example B -- the index rises 6.4402 pct and the credit is zero
