t,lapse_rate,provenance
0,0.0500,[std] early-duration attrition; no index-specific Stornoquote exists [R19]
1,0.0500,[std] early-duration attrition; no index-specific Stornoquote exists [R19]
2,0.0300,"[std] level mid-duration attrition, inside the GDV market band [R19]"
3,0.0300,"[std] level mid-duration attrition, inside the GDV market band [R19]"
4,0.0300,"[std] level mid-duration attrition, inside the GDV market band [R19]"
5,0.0300,"[std] level mid-duration attrition, inside the GDV market band [R19]"
6,0.0300,"[std] level mid-duration attrition, inside the GDV market band [R19]"
7,0.0300,"[std] level mid-duration attrition, inside the GDV market band [R19]"
8,0.0300,"[std] level mid-duration attrition, inside the GDV market band [R19]"
9,0.0300,"[std] level mid-duration attrition, inside the GDV market band [R19]"
10,0.0300,"[std] level mid-duration attrition, inside the GDV market band [R19]"
11,0.0600,[std] the duration-12 step -- EStG s 20 Abs 1 Nr 6 halves the taxable Unterschiedsbetrag after 12 years and age 62 [R14] [REG-R45]
12,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
13,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
14,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
15,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
16,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
17,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
18,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
19,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
20,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
21,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
22,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
23,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
24,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
25,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
26,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
27,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
28,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
29,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
30,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
31,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
32,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
33,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
34,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
35,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
36,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
37,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
38,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
39,0.0200,[std] low late-duration attrition on a ratcheting contract [R19]
