sex,age,qx,provenance
M,20,0.0001953884,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,21,0.0002139503,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,22,0.0002342756,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,23,0.0002565318,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,24,0.0002809023,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,25,0.0003075880,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,26,0.0003368089,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,27,0.0003688058,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,28,0.0004038423,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,29,0.0004422073,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,30,0.0004842170,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,31,0.0005302176,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,32,0.0005805883,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,33,0.0006357442,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,34,0.0006961399,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,35,0.0007622732,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,36,0.0008346892,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,37,0.0009139846,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,38,0.0010008132,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,39,0.0010958904,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,40,0.0012000000,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,41,0.0013140000,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
M,42,0.0014388300,"[std] Gompertz proxy 0.001200 x 1.095^(age-40), F = 0.65 x M, anchored at qx(M,40)=0.001200; DAV 2008 T and DAV 2004 R are proprietary and are not redistributed [REG-R47] [REG-R48] [REG-R49]"
