t,surplus_rate,provenance
0,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
1,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
2,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
3,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
4,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
5,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
6,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
7,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
8,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
9,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
10,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
11,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
12,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
13,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
14,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
15,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
16,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
17,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
18,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
19,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
20,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
21,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
22,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
23,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
24,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
25,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
26,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
27,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
28,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
29,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
30,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
31,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
32,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
33,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
34,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
35,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
36,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
37,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
38,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
39,0.0250,"[std] declared Ueberschussanteilsatz = the option budget, 2.50 pct level; 2026 market averages [R20] [REG-R53]"
