issue_year,hoechstrechnungszins,hoechstzillmersatz,provenance
1987,0.0350,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1988,0.0350,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1989,0.0350,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1990,0.0350,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1991,0.0350,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1992,0.0350,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1993,0.0350,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1994,0.0400,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015. The published history splits this year mid-year [REG-R15] and a year-keyed table cannot; the higher of the two rates is taken [std]
1995,0.0400,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1996,0.0400,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1997,0.0400,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1998,0.0400,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
1999,0.0400,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015.
2000,0.0400,0.040,[REG-R15] Hoechstrechnungszins history under DeckRV para 2 [REG-R14]; [R7] [REG-R16] Hoechstzillmersatz 40 permille to 2014 and 25 permille from 1 January 2015. The published history splits this year mid-year [REG-R15] and a year-keyed table cannot; the higher of the two rates is taken [std]
