policy_year,lapse_rate,storno_rate,provenance
1,0.0500,0.1000,[std] surrender 5.0 pct - early-duration attrition; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 10.0 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
2,0.0500,0.1000,[std] surrender 5.0 pct - early-duration attrition; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 10.0 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
3,0.0350,0.1000,[std] surrender 3.5 pct - flat mid-duration level; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 10.0 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
4,0.0350,0.1000,[std] surrender 3.5 pct - flat mid-duration level; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 10.0 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
5,0.0350,0.1000,[std] surrender 3.5 pct - flat mid-duration level; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 10.0 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
6,0.0350,0.0750,[std] surrender 3.5 pct - flat mid-duration level; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 7.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
7,0.0350,0.0750,[std] surrender 3.5 pct - flat mid-duration level; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 7.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
8,0.0350,0.0750,[std] surrender 3.5 pct - flat mid-duration level; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 7.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
9,0.0200,0.0750,[std] surrender 2.0 pct - suppressed approaching the twelve-year tax threshold [R10] [REG-R45]; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 7.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
10,0.0200,0.0750,[std] surrender 2.0 pct - suppressed approaching the twelve-year tax threshold [R10] [REG-R45]; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 7.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
11,0.0200,0.0500,[std] surrender 2.0 pct - suppressed approaching the twelve-year tax threshold [R10] [REG-R45]; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 5.0 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
12,0.0600,0.0500,[std] surrender 6.0 pct - spike at the twelve-year tax threshold [R10] [REG-R45]; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 5.0 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
13,0.0250,0.0500,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 5.0 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
14,0.0250,0.0500,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 5.0 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
15,0.0250,0.0500,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 5.0 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
16,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
17,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
18,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
19,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
20,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
21,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
22,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
23,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
24,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
25,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
26,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
27,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
28,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
29,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
30,0.0250,0.0250,[std] surrender 2.5 pct - ultimate level after the tax threshold; GDV aggregates are not surrender rates [R20]. [std] Stornoabzug 2.5 pct of the guaranteed value; observed 5-20 pct at one carrier and sub judice [S3] [R22] [R30]
