sex,age,mort_rate_1st,provenance
M,0,0.000248820182,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,1,0.000251702201,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,2,0.000254872421,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,3,0.000258359663,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,4,0.000262195629,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,5,0.000266415192,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,6,0.000271056711,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,7,0.000276162382,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,8,0.000281778620,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,9,0.000287956483,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,10,0.000294752131,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,11,0.000302227344,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,12,0.000310450078,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,13,0.000319495086,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,14,0.000329444595,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,15,0.000340389054,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,16,0.000352427960,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,17,0.000365670755,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,18,0.000380237831,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,19,0.000396261614,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,20,0.000413887776,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,21,0.000433276553,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,22,0.000454604208,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,23,0.000478064629,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,24,0.000503871092,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,25,0.000532258201,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,26,0.000563484021,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,27,0.000597832424,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,28,0.000635615666,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,29,0.000677177233,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,30,0.000722894956,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,31,0.000773184451,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
M,32,0.000828502897,[std] proxy 0.00022+B*1.10^age anchored at mort_rate_1st(M 37)=0.001200; stands in for DAV 2008 T which is not public [R14]
