scenario_id,calendar_year,decl_rate,provenance
base,2005,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2006,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2007,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2008,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2009,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2010,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2011,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2012,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2013,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2014,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2015,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2016,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2017,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2018,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2019,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2020,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2021,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
base,2022,0.0255,[std] 2.55% p.a. level: inside the 2.53% Klassik / 2.58% Neue Klassik 2025 market averages; the declared rate includes the guarantee [REG-R53]
