duration,lapse_rate,provenance
1,0.060,[std] no German Stornoquote for this product was established (gap 20)
2,0.050,[std] no German Stornoquote for this product was established (gap 20)
3,0.045,[std] no German Stornoquote for this product was established (gap 20)
4,0.040,[std] no German Stornoquote for this product was established (gap 20)
5,0.040,[std] no German Stornoquote for this product was established (gap 20)
6,0.040,[std] no German Stornoquote for this product was established (gap 20)
7,0.040,[std] no German Stornoquote for this product was established (gap 20)
8,0.035,[std] no German Stornoquote for this product was established (gap 20)
9,0.035,[std] no German Stornoquote for this product was established (gap 20)
10,0.035,[std] no German Stornoquote for this product was established (gap 20)
11,0.035,[std] no German Stornoquote for this product was established (gap 20)
12,0.060,"[std] duration-12 step: Sec. 20(1) no. 6 EStG halves the taxable gain only from twelve years, so surrenders are suppressed before it and spike at it [R6] [REG-R45]"
13,0.030,[std] no German Stornoquote for this product was established (gap 20)
14,0.030,[std] no German Stornoquote for this product was established (gap 20)
15,0.030,[std] no German Stornoquote for this product was established (gap 20)
16,0.030,[std] no German Stornoquote for this product was established (gap 20)
17,0.030,[std] no German Stornoquote for this product was established (gap 20)
18,0.030,[std] no German Stornoquote for this product was established (gap 20)
19,0.030,[std] no German Stornoquote for this product was established (gap 20)
20,0.030,[std] no German Stornoquote for this product was established (gap 20)
21,0.030,[std] no German Stornoquote for this product was established (gap 20)
22,0.030,[std] no German Stornoquote for this product was established (gap 20)
23,0.030,[std] no German Stornoquote for this product was established (gap 20)
24,0.030,[std] no German Stornoquote for this product was established (gap 20)
25,0.030,[std] no German Stornoquote for this product was established (gap 20)
26,0.030,[std] no German Stornoquote for this product was established (gap 20)
27,0.030,[std] no German Stornoquote for this product was established (gap 20)
28,0.030,[std] no German Stornoquote for this product was established (gap 20)
29,0.030,[std] no German Stornoquote for this product was established (gap 20)
30,0.030,[std] no German Stornoquote for this product was established (gap 20)
31,0.030,[std] no German Stornoquote for this product was established (gap 20)
32,0.030,[std] no German Stornoquote for this product was established (gap 20)
33,0.030,[std] no German Stornoquote for this product was established (gap 20)
34,0.030,[std] no German Stornoquote for this product was established (gap 20)
35,0.030,[std] no German Stornoquote for this product was established (gap 20)
36,0.030,[std] no German Stornoquote for this product was established (gap 20)
37,0.030,[std] no German Stornoquote for this product was established (gap 20)
38,0.030,[std] no German Stornoquote for this product was established (gap 20)
39,0.030,[std] no German Stornoquote for this product was established (gap 20)
40,0.030,[std] no German Stornoquote for this product was established (gap 20)
