sex,age,q_base,improve,provenance
M,18,0.000126877,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,19,0.000138296,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,20,0.000150742,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,21,0.000164309,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,22,0.000179097,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,23,0.000195216,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,24,0.000212785,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,25,0.000231936,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,26,0.000252810,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,27,0.000275563,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,28,0.000300363,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,29,0.000327396,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,30,0.000356862,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,31,0.000388979,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,32,0.000423987,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,33,0.000462146,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,34,0.000503740,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,35,0.000549076,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
M,36,0.000598493,0.015000,"[std] Gompertz proxy q_base(M,50)=0.002000 x 1.09^(age-50); DAV 2004 R is DAV property and is not redistributed [R13]; [std] improvement 1.5%/yr below age 60 grading to 0.5% at 100 and 0 at 110; generational form required of an annuity proxy [REG-R49]"
