rf_scenario_id,age,annuity_rate_curr,provenance
base,60,26.92,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,61,27.59,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,62,28.28,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,63,28.99,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,64,29.72,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,65,30.46,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,66,31.22,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,67,32.00,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,68,32.80,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,69,33.62,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,70,34.46,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,71,35.32,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,72,36.21,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,73,37.11,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,74,38.04,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
base,75,38.99,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 32.00
low,60,21.45,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,61,21.99,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,62,22.54,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,63,23.10,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,64,23.68,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,65,24.27,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,66,24.88,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,67,25.50,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,68,26.14,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,69,26.79,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,70,27.46,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,71,28.15,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
low,72,28.85,[std] level: the aktueller Rentenfaktor is the carrier's then-current immediate-annuity tariff [S13] [R24]; no market level established (gap 3); anchored at age 67 = 25.50
