sex,age,inc_rate,provenance
F,18,0.0000152663,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,19,0.0000175605,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,20,0.0000201994,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,21,0.0000232348,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,22,0.0000267264,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,23,0.0000307426,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,24,0.0000353625,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,25,0.0000406765,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,26,0.0000467891,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
F,27,0.0000538203,"[std] min(0.0110 x exp(0.1400 x (age-65)), 0.50); the slope is anchored on prevalence roughly doubling every five years of age above 75 (ln2/5 = 0.1386) [R18] [unverified]; NOT DAV 2008 P, which is DAV property and is not redistributed [R15] [REG-R51]"
