policy_year,lapse_rate,provenance
1,0.0600,[std] early-duration attrition; no lapse rate for a German Pflegerente at any duration was established (research gap 20). The 14-day Widerrufsrecht [REG-R23] sits inside year 1
2,0.0500,[std] early-duration attrition; no lapse rate for a German Pflegerente at any duration was established (research gap 20). The 14-day Widerrufsrecht [REG-R23] sits inside year 1
3,0.0400,[std] early-duration attrition; no lapse rate for a German Pflegerente at any duration was established (research gap 20). The 14-day Widerrufsrecht [REG-R23] sits inside year 1
4,0.0350,[std] early-duration attrition; no lapse rate for a German Pflegerente at any duration was established (research gap 20). The 14-day Widerrufsrecht [REG-R23] sits inside year 1
5,0.0300,[std] early-duration attrition; no lapse rate for a German Pflegerente at any duration was established (research gap 20). The 14-day Widerrufsrecht [REG-R23] sits inside year 1
6,0.0250,[std] the profile is flatter than a savings product's because Zillmerung makes an early lapse expensive to the policyholder [REG-R16] [REG-R28]
7,0.0250,[std] the profile is flatter than a savings product's because Zillmerung makes an early lapse expensive to the policyholder [REG-R16] [REG-R28]
8,0.0250,[std] the profile is flatter than a savings product's because Zillmerung makes an early lapse expensive to the policyholder [REG-R16] [REG-R28]
9,0.0250,[std] the profile is flatter than a savings product's because Zillmerung makes an early lapse expensive to the policyholder [REG-R16] [REG-R28]
10,0.0250,[std] the profile is flatter than a savings product's because Zillmerung makes an early lapse expensive to the policyholder [REG-R16] [REG-R28]
11,0.0200,[std] ultimate-approach band; unsourced (research gap 20)
12,0.0200,[std] ultimate-approach band; unsourced (research gap 20)
13,0.0200,[std] ultimate-approach band; unsourced (research gap 20)
14,0.0200,[std] ultimate-approach band; unsourced (research gap 20)
15,0.0200,[std] ultimate-approach band; unsourced (research gap 20)
16,0.0200,[std] ultimate-approach band; unsourced (research gap 20)
17,0.0200,[std] ultimate-approach band; unsourced (research gap 20)
18,0.0200,[std] ultimate-approach band; unsourced (research gap 20)
19,0.0200,[std] ultimate-approach band; unsourced (research gap 20)
20,0.0200,[std] ultimate-approach band; unsourced (research gap 20)
21,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
22,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
23,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
24,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
25,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
26,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
27,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
28,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
29,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
30,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
31,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
32,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
33,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
34,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
35,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
36,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
37,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
38,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
39,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
40,0.0150,"[std] ultimate rate; year 40's rate applies to every later policy year. Lapse here is profitable to the insurer, so the first-order basis carries none [REG-R8]"
