sex,age,mort_rate,provenance
F,18,0.0000366035,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,19,0.0000409944,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,20,0.0000459121,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,21,0.0000514197,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,22,0.0000575879,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,23,0.0000644960,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,24,0.0000722328,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,25,0.0000808977,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,26,0.0000906019,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,27,0.0001014701,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,28,0.0001136420,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,29,0.0001272738,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,30,0.0001425408,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,31,0.0001596389,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,32,0.0001787878,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,33,0.0002002334,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,34,0.0002242511,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,35,0.0002511493,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,36,0.0002812734,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,37,0.0003150103,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,38,0.0003527928,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,39,0.0003951062,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,40,0.0004424935,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,41,0.0004955627,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,42,0.0005549949,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,43,0.0006215525,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,44,0.0006960892,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,45,0.0007795609,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,46,0.0008730378,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,47,0.0009777179,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,48,0.0010949427,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,49,0.0012262136,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,50,0.0013732116,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,51,0.0015378181,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,52,0.0017221389,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,53,0.0019285308,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,54,0.0021596313,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,55,0.0024183914,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,56,0.0027081133,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,57,0.0030324910,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,58,0.0033956563,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,59,0.0038022307,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,60,0.0042573817,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,61,0.0047668866,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,62,0.0053372032,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,63,0.0059755482,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,64,0.0066899840,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,65,0.0074895154,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,66,0.0083841963,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,67,0.0093852474,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,68,0.0105051870,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,69,0.0117579738,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,70,0.0131591645,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,71,0.0147260865,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,72,0.0164780261,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,73,0.0184364341,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,74,0.0206251477,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,75,0.0230706304,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,76,0.0258022298,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,77,0.0288524512,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,78,0.0322572471,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,79,0.0360563203,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
F,80,0.0402934356,"[std] Gompertz proxy 1-exp(-4.7629e-06x1.119962^age); anchors q(65)=0.75%, q(85)=7.0%; NOT DAV 2008 T or the DAV 2008 P active-life table, which are DAV property and are not redistributed [R15] [R16] [REG-R47] [REG-R48]"
