age,qx_base,improvement,provenance
55,0.0020202382,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
56,0.0022525656,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
57,0.0025116106,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
58,0.0028004458,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
59,0.0031224971,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
60,0.0034815843,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
61,0.0038819665,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
62,0.0043283926,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
63,0.0048261578,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
64,0.0053811659,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
65,0.0060000000,0.018000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
66,0.0066900000,0.017550,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
67,0.0074593500,0.017100,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
68,0.0083171753,0.016650,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
69,0.0092736504,0.016200,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
70,0.0103401202,0.015750,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
71,0.0115292340,0.015300,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
72,0.0128550959,0.014850,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
73,0.0143334320,0.014400,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
74,0.0159817766,0.013950,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
75,0.0178196810,0.013500,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
76,0.0198689443,0.013050,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
77,0.0221538729,0.012600,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
78,0.0247015682,0.012150,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
79,0.0275422486,0.011700,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
80,0.0307096072,0.011250,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
81,0.0342412120,0.010800,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
82,0.0381789514,0.010350,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
83,0.0425695308,0.009900,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
84,0.0474650268,0.009450,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
85,0.0529235049,0.009000,"[std] DAV 2004 R generational proxy qx_base = 0.006000 x 1.115^(age-65), improvement 1.8 pct tapering from age 65; DAV tables not redistributed"
