duration,lapse_rate,transfer_rate,provenance
1,0.0080,0.0120,[std] no German Riester persistency data; durations 1-5; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
2,0.0080,0.0120,[std] no German Riester persistency data; durations 1-5; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
3,0.0080,0.0120,[std] no German Riester persistency data; durations 1-5; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
4,0.0080,0.0120,[std] no German Riester persistency data; durations 1-5; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
5,0.0080,0.0120,[std] no German Riester persistency data; durations 1-5; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
6,0.0060,0.0090,[std] no German Riester persistency data; durations 6-10; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
7,0.0060,0.0090,[std] no German Riester persistency data; durations 6-10; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
8,0.0060,0.0090,[std] no German Riester persistency data; durations 6-10; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
9,0.0060,0.0090,[std] no German Riester persistency data; durations 6-10; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
10,0.0060,0.0090,[std] no German Riester persistency data; durations 6-10; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
11,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
12,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
13,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
14,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
15,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
16,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
17,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
18,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
19,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
20,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
21,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
22,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
23,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
24,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
25,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
26,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
27,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
28,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
29,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
30,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
31,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
32,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
33,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
34,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
35,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
36,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
37,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
38,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
39,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
40,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
41,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
42,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
43,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
44,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
45,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
46,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
47,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
48,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
49,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
50,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
51,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
52,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
53,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
54,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
55,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
56,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
57,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
58,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
59,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
60,0.0040,0.0060,[std] no German Riester persistency data; durations 11+; transfer set above surrender because Anbieterwechsel is foerderunschaedlich [R1]
