point_id,sex,issue_age,duration_init,pols_if_init,rentenbeginn_age,rechnungszins,beitragssumme,contrib_form,contrib_fixed_pp,contrib_ratio,contrib_extra_pp,rider_prem_pp,income_id,income_init,zulage_id,zulage_init_pp,prem_freq,bfs_year,dk_pp_init,surplus_pp_init,guar_pp_init,teilkapital_share,rentenfaktor_guar,rentengarantie_years,scenario_id
1,F,47,3,1.0,67,0.0025,33600.00,mindest,0.00,1.00,0.00,0.00,grow2,42000.00,k1_2010,475.00,annual,-1,3860.50,150.48,4369.92,0.30,29.00,10,base
2,F,47,0,1.0,67,0.0025,33600.00,mindest,0.00,1.00,0.00,0.00,grow2_pre,42000.00,k1_2010_pre,0.00,annual,-1,0.00,0.00,0.00,0.30,29.00,10,base
3,M,38,9,1.0,67,0.0090,30000.00,mindest,0.00,1.00,0.00,0.00,grow2,42000.00,k2_mixed,660.00,monthly,-1,12200.00,950.00,14280.00,0.30,29.00,10,base
4,F,55,5,1.0,67,0.0025,720.00,mindest,0.00,1.00,0.00,0.00,flat20,20000.00,k2_post2008,775.00,quarterly,-1,3000.00,150.00,3800.00,0.30,29.00,10,base
5,F,50,6,1.0,67,0.0025,1020.00,fixed,60.00,1.00,0.00,0.00,zero,0.00,grund_only,175.00,annual,-1,1150.00,60.00,1400.00,0.30,29.00,10,base
6,M,23,1,1.0,67,0.0025,43000.00,mindest,0.00,1.00,0.00,0.00,grow2_28k,28000.00,grund_only,375.00,monthly,-1,468.29,9.58,723.04,0.30,29.00,10,base
7,M,47,3,1.0,67,0.0025,16800.00,mindest,0.00,0.50,0.00,0.00,grow2,42000.00,k1_2010,237.50,half_yearly,-1,1900.00,74.00,2185.00,0.30,29.00,10,base
8,M,47,3,1.0,67,0.0025,38500.00,fixed,1925.00,1.00,900.00,0.00,grow2_60k,60000.00,grund_only,175.00,annual,-1,7500.00,300.00,8650.00,0.30,29.00,10,base
9,F,47,3,1.0,67,0.0025,12500.00,fixed,625.00,1.00,0.00,400.00,flat20,20000.00,grund_only,175.00,annual,-1,3200.00,130.00,3400.00,0.30,29.00,10,base
10,F,49,1,1.0,67,0.0025,33600.00,mindest,0.00,1.00,0.00,0.00,grow2,42000.00,k1_2010,475.00,monthly,3,947.54,19.38,1172.06,0.30,29.00,10,base
11,F,57,3,1.0,67,0.0025,17500.00,mindest,0.00,1.00,0.00,0.00,grow2_60k,60000.00,k1_2010,475.00,annual,-1,4900.00,200.00,5825.00,0.30,29.00,10,low
12,F,47,3,1.0,67,0.0025,33600.00,mindest,0.00,1.00,0.00,0.00,grow2,42000.00,k1_2010,475.00,annual,-1,3860.50,150.48,4369.92,0.00,29.00,0,base
13,M,60,1,1.0,62,0.0025,4200.00,mindest,0.00,1.00,0.00,0.00,grow2,42000.00,grund_only,175.00,monthly,-1,1383.63,28.29,1472.06,0.30,29.00,10,base
