age,qx,provenance
16,0.0000587138,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
17,0.0000645851,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
18,0.0000710437,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
19,0.0000781480,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
20,0.0000859628,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
21,0.0000945591,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
22,0.0001040150,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
23,0.0001144165,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
24,0.0001258582,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
25,0.0001384440,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
26,0.0001522884,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
27,0.0001675172,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
28,0.0001842690,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
29,0.0002026959,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
30,0.0002229654,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
31,0.0002452620,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
32,0.0002697882,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
33,0.0002967670,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
34,0.0003264437,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
35,0.0003590881,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
36,0.0003949969,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
37,0.0004344966,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
38,0.0004779462,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
39,0.0005257408,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
40,0.0005783149,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
41,0.0006361464,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
42,0.0006997611,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
43,0.0007697372,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
44,0.0008467109,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
45,0.0009313820,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
46,0.0010245202,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
47,0.0011269722,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
48,0.0012396694,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
49,0.0013636364,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
50,0.0015000000,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
51,0.0016500000,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
52,0.0018150000,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
53,0.0019965000,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
54,0.0021961500,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
55,0.0024157650,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
56,0.0026573415,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
57,0.0029230757,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
58,0.0032153832,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
59,0.0035369215,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
60,0.0038906137,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
61,0.0042796751,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
62,0.0047076426,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
63,0.0051784068,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
64,0.0056962475,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
65,0.0062658723,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
66,0.0068924595,[std] DAV 2008 T proxy qx = 0.001500 x 1.10^(age-50); DAV tables are proprietary and not redistributed
