scenario_id,t,decl_rate,provenance
base,0,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,1,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,2,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,3,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,4,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,5,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,6,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,7,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,8,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,9,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,10,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,11,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,12,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,13,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,14,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,15,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,16,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,17,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,18,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,19,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,20,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,21,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,22,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,23,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,24,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,25,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,26,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,27,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,28,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,29,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,30,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,31,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,32,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,33,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,34,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,35,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,36,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,37,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,38,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,39,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,40,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,41,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,42,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,43,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,44,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,45,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,46,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,47,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,48,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,49,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,50,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,51,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,52,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,53,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,54,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,55,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,56,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,57,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,58,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,59,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,60,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,61,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,62,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,63,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,64,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
base,65,0.023000,[std] laufende Verzinsung 2.30 pct level; no carrier declaration was established (gap 12); includes the Rechnungszins [REG-R53]
