zulage_id,t,unmittelbar,n_kinder_pre2008,n_kinder_post2008,bonus,provenance
k1_2010,0,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,1,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,2,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,3,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,4,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,5,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,6,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,7,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,8,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,9,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,10,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,11,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,12,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,13,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,14,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,15,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,16,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,17,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,18,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,19,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,20,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,21,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,22,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,23,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,24,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,25,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,26,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,27,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,28,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,29,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,30,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,31,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,32,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,33,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,34,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,35,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,36,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,37,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,38,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,39,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,40,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,41,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,42,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,43,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,44,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,45,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,46,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,47,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,48,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,49,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,50,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,51,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,52,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,53,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,54,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,55,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,56,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,57,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,58,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010,59,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,0,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,1,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,2,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,3,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,4,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,5,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,6,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,7,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,8,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,9,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,10,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,11,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,12,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,13,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,14,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,15,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,16,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,17,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,18,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,19,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,20,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,21,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,22,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,23,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,24,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,25,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,26,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,27,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,28,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,29,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,30,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,31,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,32,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,33,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,34,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,35,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,36,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,37,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,38,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,39,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,40,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,41,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,42,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,43,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,44,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,45,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,46,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,47,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,48,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,49,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,50,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,51,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,52,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,53,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,54,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,55,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,56,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,57,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,58,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k1_2010_pre,59,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,0,1,1,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,1,1,1,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,2,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,3,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,4,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,5,1,0,1,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,6,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,7,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,8,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,9,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,10,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,11,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,12,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,13,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,14,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
k2_mixed,15,1,0,0,0,[R9] [REG-R42] Grundzulage/Kinderzulage/Bonus entitlement pattern [unverified]
