schedule_id,policy_year,benefit_factor,provenance
konstant,1,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,2,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,3,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,4,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,5,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,6,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,7,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,8,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,9,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,10,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,11,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,12,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,13,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,14,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,15,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,16,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,17,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,18,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,19,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,20,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,21,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,22,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,23,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,24,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,25,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,26,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,27,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,28,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,29,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,30,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,31,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,32,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,33,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,34,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,35,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,36,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,37,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,38,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,39,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
konstant,40,1.0,"[std] konstante Versicherungssumme, the majority German shape (mechanic 3)"
linear_fallend,1,1.0,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,2,0.95,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,3,0.9,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,4,0.85,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,5,0.8,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,6,0.75,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,7,0.7,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,8,0.65,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,9,0.6,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,10,0.55,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,11,0.5,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,12,0.45,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,13,0.4,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,14,0.35,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,15,0.3,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,16,0.25,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,17,0.2,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,18,0.15,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,19,0.1,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
linear_fallend,20,0.05,"[std] linear fallende Versicherungssumme over a 20-year term, f(t)=(21-t)/20 (mechanic 3)"
annuitaet_fallend_3pct,1,1.0,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,2,0.9789807406797472,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,3,0.957330903579887,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,4,0.9350315713670311,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,5,0.9120632591877894,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,6,0.8884058976431706,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,7,0.8640388152522133,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,8,0.8389407203895269,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,9,0.81308968268096,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,10,0.7864631138411363,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,11,0.7590377479361179,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,12,0.730789621053949,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,13,0.7016940503653148,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
annuitaet_fallend_3pct,14,0.6717256125560216,"[std] annuitaetisch fallende Versicherungssumme, outstanding balance of a 30-year annuity loan at 3.00 pct nominal agreed at issue (mechanic 3)"
