table_id,sex,smoker,age,mort_rate,provenance
dav2008t_proxy,M,N,18,0.00013461410287173147,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,19,0.00014740244264454597,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,20,0.00016140567469577783,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,21,0.00017673921379187673,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,22,0.000193529439102105,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,23,0.00021191473581680498,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,24,0.00023204663571940146,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,25,0.0002540910661127446,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,26,0.0002782297173934553,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,27,0.00030466154054583353,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,28,0.00033360438689768776,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,29,0.0003652968036529681,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
dav2008t_proxy,M,N,30,0.0004,"[std] Gompertz proxy base(M)=0.00040 base(F)=0.00020 x 1.095^(age-30); smoker mult 2.20; DAV 2008 T [R12] cited by name, values proprietary, not shipped"
