sex,age,itt_inception_rate,provenance
M,30,0.002,"[std] proxy, notes pivot (franchise 90 days)"
M,35,0.0028,"[std] proxy, notes pivot (franchise 90 days)"
M,40,0.004,"[std] proxy, notes pivot (franchise 90 days)"
M,45,0.006,"[std] proxy, notes pivot (franchise 90 days)"
M,50,0.009,"[std] proxy, notes pivot (franchise 90 days)"
M,55,0.0135,"[std] proxy, notes pivot (franchise 90 days)"
M,60,0.02,"[std] proxy, notes pivot (franchise 90 days)"
M,65,0.028,"[std] proxy, notes pivot (franchise 90 days)"
M,69,0.036,"[std] proxy, notes pivot (franchise 90 days)"
F,30,0.0026,"[std] proxy, 1.30 x male"
F,35,0.00364,"[std] proxy, 1.30 x male"
F,40,0.0052,"[std] proxy, 1.30 x male"
F,45,0.0078,"[std] proxy, 1.30 x male"
F,50,0.0117,"[std] proxy, 1.30 x male"
F,55,0.01755,"[std] proxy, 1.30 x male"
F,60,0.026,"[std] proxy, 1.30 x male"
F,65,0.0364,"[std] proxy, 1.30 x male"
F,69,0.0468,"[std] proxy, 1.30 x male"
