sex,age,mort_rate,provenance
M,30,0.0006,"[std] INSEE-shaped proxy, notes pivot"
M,35,0.0008,"[std] INSEE-shaped proxy, notes pivot"
M,40,0.0012,"[std] INSEE-shaped proxy, notes pivot"
M,45,0.002,"[std] INSEE-shaped proxy, notes pivot"
M,50,0.0032,"[std] INSEE-shaped proxy, notes pivot"
M,55,0.005,"[std] INSEE-shaped proxy, notes pivot"
M,60,0.0076,"[std] INSEE-shaped proxy, notes pivot"
M,65,0.0115,"[std] INSEE-shaped proxy, notes pivot"
M,70,0.0175,"[std] INSEE-shaped proxy, notes pivot"
M,75,0.027,"[std] INSEE-shaped proxy, notes pivot"
M,80,0.045,"[std] INSEE-shaped proxy, notes pivot"
M,85,0.078,"[std] INSEE-shaped proxy, notes pivot"
F,30,0.00036,"[std] INSEE-shaped proxy, 0.60 x male"
F,35,0.00048,"[std] INSEE-shaped proxy, 0.60 x male"
F,40,0.00072,"[std] INSEE-shaped proxy, 0.60 x male"
F,45,0.0012,"[std] INSEE-shaped proxy, 0.60 x male"
F,50,0.00192,"[std] INSEE-shaped proxy, 0.60 x male"
F,55,0.003,"[std] INSEE-shaped proxy, 0.60 x male"
F,60,0.00456,"[std] INSEE-shaped proxy, 0.60 x male"
F,65,0.0069,"[std] INSEE-shaped proxy, 0.60 x male"
F,70,0.0105,"[std] INSEE-shaped proxy, 0.60 x male"
F,75,0.0162,"[std] INSEE-shaped proxy, 0.60 x male"
F,80,0.027,"[std] INSEE-shaped proxy, 0.60 x male"
F,85,0.0468,"[std] INSEE-shaped proxy, 0.60 x male"
