scenario_id,y,r_fin,ref_rate,provenance
base,0,0.0330,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,1,0.0325,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,2,0.0320,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,3,0.0310,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,4,0.0295,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,5,0.0280,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,6,0.0265,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,7,0.0255,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,8,0.0245,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,9,0.0240,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,10,0.0235,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,11,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,12,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,13,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,14,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,15,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,16,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,17,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,18,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,19,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,20,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,21,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,22,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,23,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,24,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,25,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,26,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,27,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,28,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,29,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,30,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,31,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,32,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,33,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,34,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,35,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,36,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,37,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,38,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
base,39,0.0230,0.0220,"[std] anchored to the ACPR taux de rendement de l'actif, 2.8% in 2025 [R14]"
low,0,0.0300,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,1,0.0285,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,2,0.0270,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,3,0.0255,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,4,0.0240,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,5,0.0225,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,6,0.0210,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,7,0.0195,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,8,0.0180,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,9,0.0165,0.0220,[std] a sustained reinvestment-drag path; not a forecast
low,10,0.0150,0.0220,[std] a sustained reinvestment-drag path; not a forecast
