point_id,policy_id,sex,issue_age,duration_init,pols_if_init,av_pp_init,ppb_pp_init,ppb_vintages_init,prem_gross_pp,prem_charge_rate,wd_pp,wd_start_year,fee_rate,tmg_rate,ts_target,soc_levy_rate,guarantee_form,avance_on,scenario_id
1,FR-AVE-0001,M,55,5,1.0,100000.0,4000.0,8,2400.0,0.0,3000.0,5,0.006,0.0,0.023,0.172,net,0,base
2,FR-AVE-0002,M,55,5,1.0,100000.0,4000.0,8,2400.0,0.0,3000.0,5,0.006,0.0,0.023,0.172,gross,0,base
3,FR-AVE-0003,M,55,5,1.0,100000.0,4000.0,8,2400.0,0.0,3000.0,5,0.006,0.0,0.029,0.172,net,0,base
4,FR-AVE-0004,M,55,5,1.0,100000.0,4000.0,8,0.0,0.0,0.0,98,0.006,0.0,0.023,0.172,net,0,base
5,FR-AVE-0005,M,55,5,1.0,100000.0,0.0,8,2400.0,0.0,3000.0,5,0.006,0.0,0.023,0.172,net,0,base
6,FR-AVE-0006,M,55,5,1.0,100000.0,4000.0,4,2400.0,0.0,3000.0,5,0.006,0.0,0.023,0.172,net,0,base
7,FR-AVE-0007,M,55,5,1.0,100000.0,4000.0,8,2400.0,0.0,3000.0,5,0.006,0.0,0.023,0.172,net,0,low
8,FR-AVE-0008,M,55,5,1.0,100000.0,4000.0,8,2400.0,0.0,3000.0,5,0.006,0.0,0.023,0.172,net,0,high
9,FR-AVE-0009,F,45,0,1.0,5000.0,200.0,8,1200.0,0.005,0.0,98,0.008,0.0,0.023,0.172,net,0,base
10,FR-AVE-0010,F,70,12,1.0,250000.0,10000.0,8,0.0,0.0,6000.0,0,0.00475,0.0,0.026,0.172,gross,0,base
11,FR-AVE-0011,M,55,5,250.0,100000.0,4000.0,8,2400.0,0.0,3000.0,5,0.006,0.0,0.023,0.172,net,0,base
