sex,age,mort_rate,provenance
M,18,0.000556987598,[std] INSEE-shaped French population proxy
M,19,0.000571901419,[std] INSEE-shaped French population proxy
M,20,0.000588232054,[std] INSEE-shaped French population proxy
M,21,0.000606114099,[std] INSEE-shaped French population proxy
M,22,0.000625694939,[std] INSEE-shaped French population proxy
M,23,0.000647135958,[std] INSEE-shaped French population proxy
M,24,0.000670613874,[std] INSEE-shaped French population proxy
M,25,0.000696322192,[std] INSEE-shaped French population proxy
M,26,0.0007244728,[std] INSEE-shaped French population proxy
M,27,0.000755297716,[std] INSEE-shaped French population proxy
M,28,0.000789050999,[std] INSEE-shaped French population proxy
M,29,0.000826010844,[std] INSEE-shaped French population proxy
M,30,0.000866481874,[std] INSEE-shaped French population proxy
M,31,0.000910797652,[std] INSEE-shaped French population proxy
M,32,0.000959323429,[std] INSEE-shaped French population proxy
M,33,0.001012459155,[std] INSEE-shaped French population proxy
M,34,0.001070642775,[std] INSEE-shaped French population proxy
M,35,0.001134353839,[std] INSEE-shaped French population proxy
M,36,0.001204117453,[std] INSEE-shaped French population proxy
M,37,0.001280508611,[std] INSEE-shaped French population proxy
M,38,0.001364156929,[std] INSEE-shaped French population proxy
M,39,0.001455751838,[std] INSEE-shaped French population proxy
M,40,0.001556048262,[std] INSEE-shaped French population proxy
M,41,0.001665872847,[std] INSEE-shaped French population proxy
M,42,0.001786130768,[std] INSEE-shaped French population proxy
M,43,0.00191781319,[std] INSEE-shaped French population proxy
M,44,0.002062005444,[std] INSEE-shaped French population proxy
M,45,0.002219895961,[std] INSEE-shaped French population proxy
M,46,0.002392786077,[std] INSEE-shaped French population proxy
M,47,0.002582100754,[std] INSEE-shaped French population proxy
M,48,0.002789400326,[std] INSEE-shaped French population proxy
M,49,0.003016393357,[std] INSEE-shaped French population proxy
M,50,0.003264950726,[std] INSEE-shaped French population proxy
M,51,0.003537121045,[std] INSEE-shaped French population proxy
M,52,0.003835147544,[std] INSEE-shaped French population proxy
M,53,0.004161486561,[std] INSEE-shaped French population proxy
M,54,0.004518827784,[std] INSEE-shaped French population proxy
M,55,0.004910116424,[std] INSEE-shaped French population proxy
M,56,0.005338577484,[std] INSEE-shaped French population proxy
M,57,0.005807742345,[std] INSEE-shaped French population proxy
M,58,0.006321477867,[std] INSEE-shaped French population proxy
M,59,0.006884018265,[std] INSEE-shaped French population proxy
M,60,0.0075,[std] INSEE-shaped French population proxy
M,61,0.0081745,[std] INSEE-shaped French population proxy
M,62,0.0089130775,[std] INSEE-shaped French population proxy
M,63,0.009721819862,[std] INSEE-shaped French population proxy
M,64,0.010607392749,[std] INSEE-shaped French population proxy
M,65,0.011577095061,[std] INSEE-shaped French population proxy
M,66,0.012638919091,[std] INSEE-shaped French population proxy
M,67,0.013801616405,[std] INSEE-shaped French population proxy
M,68,0.015074769964,[std] INSEE-shaped French population proxy
M,69,0.01646887311,[std] INSEE-shaped French population proxy
M,70,0.017995416056,[std] INSEE-shaped French population proxy
M,71,0.019666980581,[std] INSEE-shaped French population proxy
M,72,0.021497343736,[std] INSEE-shaped French population proxy
M,73,0.023501591391,[std] INSEE-shaped French population proxy
M,74,0.025696242573,[std] INSEE-shaped French population proxy
M,75,0.028099385618,[std] INSEE-shaped French population proxy
M,76,0.030730827251,[std] INSEE-shaped French population proxy
M,77,0.03361225584,[std] INSEE-shaped French population proxy
M,78,0.036767420145,[std] INSEE-shaped French population proxy
M,79,0.040222325059,[std] INSEE-shaped French population proxy
M,80,0.044005445939,[std] INSEE-shaped French population proxy
M,81,0.048147963303,[std] INSEE-shaped French population proxy
M,82,0.052684019817,[std] INSEE-shaped French population proxy
M,83,0.0576510017,[std] INSEE-shaped French population proxy
M,84,0.063089846861,[std] INSEE-shaped French population proxy
M,85,0.069045382313,[std] INSEE-shaped French population proxy
M,86,0.075566693633,[std] INSEE-shaped French population proxy
M,87,0.082707529528,[std] INSEE-shaped French population proxy
M,88,0.090526744833,[std] INSEE-shaped French population proxy
M,89,0.099088785592,[std] INSEE-shaped French population proxy
M,90,0.108464220224,[std] INSEE-shaped French population proxy
M,91,0.118730321145,[std] INSEE-shaped French population proxy
M,92,0.129971701654,[std] INSEE-shaped French population proxy
M,93,0.142281013311,[std] INSEE-shaped French population proxy
M,94,0.155759709575,[std] INSEE-shaped French population proxy
M,95,0.170518881985,[std] INSEE-shaped French population proxy
M,96,0.186680175773,[std] INSEE-shaped French population proxy
M,97,0.204376792472,[std] INSEE-shaped French population proxy
M,98,0.223754587757,[std] INSEE-shaped French population proxy
M,99,0.244973273594,[std] INSEE-shaped French population proxy
M,100,0.268207734585,[std] INSEE-shaped French population proxy
M,101,0.293649469371,[std] INSEE-shaped French population proxy
M,102,0.321508168961,[std] INSEE-shaped French population proxy
M,103,0.352013445012,[std] INSEE-shaped French population proxy
M,104,0.385416722288,[std] INSEE-shaped French population proxy
M,105,0.421993310906,[std] INSEE-shaped French population proxy
M,106,0.462044675442,[std] INSEE-shaped French population proxy
M,107,0.505900919609,[std] INSEE-shaped French population proxy
M,108,0.553923506972,[std] INSEE-shaped French population proxy
M,109,0.606508240134,[std] INSEE-shaped French population proxy
M,110,0.664088522947,[std] INSEE-shaped French population proxy
M,111,0.727138932627,[std] INSEE-shaped French population proxy
M,112,0.796179131226,[std] INSEE-shaped French population proxy
M,113,0.871778148693,[std] INSEE-shaped French population proxy
M,114,0.954559072818,[std] INSEE-shaped French population proxy
M,115,1.0,[std] INSEE-shaped French population proxy
M,116,1.0,[std] INSEE-shaped French population proxy
M,117,1.0,[std] INSEE-shaped French population proxy
M,118,1.0,[std] INSEE-shaped French population proxy
M,119,1.0,[std] INSEE-shaped French population proxy
M,120,1.0,[std] INSEE-shaped French population proxy
F,18,0.000315560874,[std] INSEE-shaped French population proxy
F,19,0.000322248084,[std] INSEE-shaped French population proxy
F,20,0.000329617388,[std] INSEE-shaped French population proxy
F,21,0.000337738362,[std] INSEE-shaped French population proxy
F,22,0.000346687675,[std] INSEE-shaped French population proxy
F,23,0.000356549817,[std] INSEE-shaped French population proxy
F,24,0.000367417899,[std] INSEE-shaped French population proxy
F,25,0.000379394524,[std] INSEE-shaped French population proxy
F,26,0.000392592766,[std] INSEE-shaped French population proxy
F,27,0.000407137228,[std] INSEE-shaped French population proxy
F,28,0.000423165225,[std] INSEE-shaped French population proxy
F,29,0.000440828078,[std] INSEE-shaped French population proxy
F,30,0.000460292542,[std] INSEE-shaped French population proxy
F,31,0.000481742382,[std] INSEE-shaped French population proxy
F,32,0.000505380105,[std] INSEE-shaped French population proxy
F,33,0.000531428875,[std] INSEE-shaped French population proxy
F,34,0.00056013462,[std] INSEE-shaped French population proxy
F,35,0.000591768352,[std] INSEE-shaped French population proxy
F,36,0.000626628724,[std] INSEE-shaped French population proxy
F,37,0.000665044853,[std] INSEE-shaped French population proxy
F,38,0.000707379428,[std] INSEE-shaped French population proxy
F,39,0.00075403213,[std] INSEE-shaped French population proxy
F,40,0.000805443407,[std] INSEE-shaped French population proxy
F,41,0.000862098635,[std] INSEE-shaped French population proxy
F,42,0.000924532696,[std] INSEE-shaped French population proxy
F,43,0.000993335031,[std] INSEE-shaped French population proxy
F,44,0.001069155204,[std] INSEE-shaped French population proxy
F,45,0.001152709035,[std] INSEE-shaped French population proxy
F,46,0.001244785356,[std] INSEE-shaped French population proxy
F,47,0.001346253463,[std] INSEE-shaped French population proxy
F,48,0.001458071316,[std] INSEE-shaped French population proxy
F,49,0.00158129459,[std] INSEE-shaped French population proxy
F,50,0.001717086638,[std] INSEE-shaped French population proxy
F,51,0.001866729475,[std] INSEE-shaped French population proxy
F,52,0.002031635882,[std] INSEE-shaped French population proxy
F,53,0.002213362742,[std] INSEE-shaped French population proxy
F,54,0.002413625741,[std] INSEE-shaped French population proxy
F,55,0.002634315567,[std] INSEE-shaped French population proxy
F,56,0.002877515755,[std] INSEE-shaped French population proxy
F,57,0.003145522362,[std] INSEE-shaped French population proxy
F,58,0.003440865643,[std] INSEE-shaped French population proxy
F,59,0.003766333938,[std] INSEE-shaped French population proxy
F,60,0.004125,[std] INSEE-shaped French population proxy
F,61,0.00452025,[std] INSEE-shaped French population proxy
F,62,0.0049558155,[std] INSEE-shaped French population proxy
F,63,0.005435808681,[std] INSEE-shaped French population proxy
F,64,0.005964761166,[std] INSEE-shaped French population proxy
F,65,0.006547666805,[std] INSEE-shaped French population proxy
F,66,0.00719002882,[std] INSEE-shaped French population proxy
F,67,0.007897911759,[std] INSEE-shaped French population proxy
F,68,0.008677998759,[std] INSEE-shaped French population proxy
F,69,0.009537654632,[std] INSEE-shaped French population proxy
F,70,0.010484995404,[std] INSEE-shaped French population proxy
F,71,0.011528964936,[std] INSEE-shaped French population proxy
F,72,0.012679419359,[std] INSEE-shaped French population proxy
F,73,0.013947220134,[std] INSEE-shaped French population proxy
F,74,0.015344336587,[std] INSEE-shaped French population proxy
F,75,0.016883958919,[std] INSEE-shaped French population proxy
F,76,0.018580622729,[std] INSEE-shaped French population proxy
F,77,0.020450346248,[std] INSEE-shaped French population proxy
F,78,0.022510781565,[std] INSEE-shaped French population proxy
F,79,0.024781381284,[std] INSEE-shaped French population proxy
F,80,0.027283582175,[std] INSEE-shaped French population proxy
F,81,0.030041007557,[std] INSEE-shaped French population proxy
F,82,0.033079690328,[std] INSEE-shaped French population proxy
F,83,0.036428318742,[std] INSEE-shaped French population proxy
F,84,0.040118507253,[std] INSEE-shaped French population proxy
F,85,0.044185094993,[std] INSEE-shaped French population proxy
F,86,0.048666474682,[std] INSEE-shaped French population proxy
F,87,0.0536049551,[std] INSEE-shaped French population proxy
F,88,0.05904716052,[std] INSEE-shaped French population proxy
F,89,0.065044470893,[std] INSEE-shaped French population proxy
F,90,0.071653506924,[std] INSEE-shaped French population proxy
F,91,0.078936664631,[std] INSEE-shaped French population proxy
F,92,0.086962704423,[std] INSEE-shaped French population proxy
F,93,0.095807400274,[std] INSEE-shaped French population proxy
F,94,0.105554255102,[std] INSEE-shaped French population proxy
F,95,0.116295289122,[std] INSEE-shaped French population proxy
F,96,0.128131908613,[std] INSEE-shaped French population proxy
F,97,0.141175863291,[std] INSEE-shaped French population proxy
F,98,0.155550301347,[std] INSEE-shaped French population proxy
F,99,0.171390932085,[std] INSEE-shaped French population proxy
F,100,0.188847307157,[std] INSEE-shaped French population proxy
F,101,0.208084232487,[std] INSEE-shaped French population proxy
F,102,0.229283324201,[std] INSEE-shaped French population proxy
F,103,0.25264472327,[std] INSEE-shaped French population proxy
F,104,0.278388985043,[std] INSEE-shaped French population proxy
F,105,0.306759161517,[std] INSEE-shaped French population proxy
F,106,0.338023095992,[std] INSEE-shaped French population proxy
F,107,0.372475951783,[std] INSEE-shaped French population proxy
F,108,0.410442998865,[std] INSEE-shaped French population proxy
F,109,0.45228268475,[std] INSEE-shaped French population proxy
F,110,0.498390018594,[std] INSEE-shaped French population proxy
F,111,0.549200300491,[std] INSEE-shaped French population proxy
F,112,0.605193231141,[std] INSEE-shaped French population proxy
F,113,0.666897440717,[std] INSEE-shaped French population proxy
F,114,0.73489547967,[std] INSEE-shaped French population proxy
F,115,0.809829318596,[std] INSEE-shaped French population proxy
F,116,0.892406409093,[std] INSEE-shaped French population proxy
F,117,0.983406362821,[std] INSEE-shaped French population proxy
F,118,1.0,[std] INSEE-shaped French population proxy
F,119,1.0,[std] INSEE-shaped French population proxy
F,120,1.0,[std] INSEE-shaped French population proxy
