policy_year,lapse_rate,provenance
1,0.02,[std] year 1 carries the 30-day renonciation unwind
2,0.04,[std] no public French persistency study was retrieved
3,0.04,[std] no public French persistency study was retrieved
4,0.04,[std] no public French persistency study was retrieved
5,0.06,[std] no public French persistency study was retrieved
6,0.06,[std] no public French persistency study was retrieved
7,0.06,[std] no public French persistency study was retrieved
8,0.12,[std] art. 125-0 A CGI eight-year tax threshold [REG-R40]
9,0.06,[std] ultimate level after the eight-year spike
10,0.06,[std] ultimate level after the eight-year spike
11,0.06,[std] ultimate level after the eight-year spike
12,0.06,[std] ultimate level after the eight-year spike
13,0.06,[std] ultimate level after the eight-year spike
14,0.06,[std] ultimate level after the eight-year spike
15,0.06,[std] ultimate level after the eight-year spike
16,0.06,[std] ultimate level after the eight-year spike
17,0.06,[std] ultimate level after the eight-year spike
18,0.06,[std] ultimate level after the eight-year spike
19,0.06,[std] ultimate level after the eight-year spike
20,0.06,[std] ultimate level after the eight-year spike
21,0.06,[std] ultimate level after the eight-year spike
22,0.06,[std] ultimate level after the eight-year spike
23,0.06,[std] ultimate level after the eight-year spike
24,0.06,[std] ultimate level after the eight-year spike
25,0.06,[std] ultimate level after the eight-year spike
26,0.06,[std] ultimate level after the eight-year spike
27,0.06,[std] ultimate level after the eight-year spike
28,0.06,[std] ultimate level after the eight-year spike
29,0.06,[std] ultimate level after the eight-year spike
30,0.06,[std] ultimate level after the eight-year spike
31,0.06,[std] ultimate level after the eight-year spike
32,0.06,[std] ultimate level after the eight-year spike
33,0.06,[std] ultimate level after the eight-year spike
34,0.06,[std] ultimate level after the eight-year spike
35,0.06,[std] ultimate level after the eight-year spike
36,0.06,[std] ultimate level after the eight-year spike
37,0.06,[std] ultimate level after the eight-year spike
38,0.06,[std] ultimate level after the eight-year spike
39,0.06,[std] ultimate level after the eight-year spike
40,0.06,[std] ultimate level after the eight-year spike
