point_id,policy_id,issue_age,sex,premium,prem_charge_rate,uc_alloc,unit_price_init,mgmt_fee_rate_uc,euro_credit_rate,arbitrage_fee_rate,plancher_flag,plancher_basis,plancher_index_rate,plancher_ratchet_months,plancher_gross_basis,plancher_end_age,plancher_cap,plancher_levy_source,wd_pattern,wd_month,wd_amount,wd_rate,arb_pattern,arb_month,arb_amount,uc_return_scenario,lapse_dynamic,proj_len,pols_if_init
1,UC-000001,65,M,100000.0,0.01,0.7,100.0,0.0088,0.025,0.005,True,simple,0.035,12,False,75,300000.0,euro_first,one_off,5,5000.0,0.0,one_off,2,10000.0,stress_yr1,none,12,1.0
2,UC-000002,65,M,100000.0,0.01,0.7,100.0,0.0088,0.025,0.005,True,simple,0.035,12,False,75,300000.0,euro_first,programmed,0,0.0,0.05,progressive,0,500.0,base_490,full,360,1.0
3,UC-000003,65,M,100000.0,0.01,0.7,100.0,0.0088,0.025,0.005,True,indexee,0.035,12,False,75,300000.0,euro_first,one_off,5,5000.0,0.0,one_off,2,10000.0,stress_yr1,none,12,1.0
4,UC-000004,65,M,100000.0,0.01,0.7,100.0,0.0088,0.025,0.005,True,cliquet,0.035,12,False,75,300000.0,euro_first,one_off,5,5000.0,0.0,one_off,2,10000.0,stress_yr1,none,12,1.0
5,UC-000005,65,M,100000.0,0.01,0.7,100.0,0.0088,0.025,0.005,True,cliquet,0.035,1,False,75,300000.0,euro_first,one_off,5,5000.0,0.0,one_off,2,10000.0,stress_yr1,none,12,1.0
6,UC-000006,65,M,100000.0,0.01,0.7,100.0,0.0088,0.025,0.005,True,simple,0.035,12,False,75,300000.0,uc_units,one_off,5,5000.0,0.0,one_off,2,10000.0,stress_yr1,none,12,1.0
7,UC-000007,65,M,100000.0,0.01,0.7,100.0,0.0088,0.025,0.005,False,simple,0.035,12,False,75,300000.0,euro_first,none,0,0.0,0.0,none,0,0.0,bear_5pct,none,360,1.0
8,UC-000008,65,M,100000.0,0.01,0.7,100.0,0.0088,0.025,0.005,True,simple,0.035,12,True,75,300000.0,euro_first,one_off,5,5000.0,0.0,one_off,2,10000.0,stress_yr1,none,12,1.0
9,UC-000009,73,M,150000.0,0.01,0.6,100.0,0.0088,0.025,0.005,True,simple,0.035,12,False,75,300000.0,euro_first,none,0,0.0,0.0,none,0,0.0,bear_5pct,full,120,1.0
10,UC-000010,65,F,2000000.0,0.01,1.0,100.0,0.0088,0.025,0.005,True,simple,0.035,12,False,75,300000.0,euro_first,none,0,0.0,0.0,none,0,0.0,bear_5pct,full,240,1.0
11,UC-000011,45,F,100000.0,0.01,0.7,100.0,0.0117,0.025,0.005,True,simple,0.035,12,False,75,300000.0,euro_first,none,0,0.0,0.0,none,0,0.0,base_490,none,360,1.0
