sex,age,mort_rate,provenance
M,12,0.0004291778,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,13,0.0004373738,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,14,0.0004464183,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,15,0.0004563989,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,16,0.0004674128,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,17,0.0004795667,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,18,0.0004929787,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,19,0.0005077790,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,20,0.0005241115,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,21,0.0005421345,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,22,0.0005620232,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,23,0.0005839706,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,24,0.0006081900,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,25,0.0006349163,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,26,0.0006644093,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,27,0.0006969552,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,28,0.0007328700,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,29,0.0007725026,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,30,0.0008162377,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,31,0.0008645000,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,32,0.0009177582,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,33,0.0009765293,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,34,0.0010413842,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,35,0.0011129524,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,36,0.0011919289,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,37,0.0012790807,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,38,0.0013752539,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,39,0.0014813825,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,40,0.0015984969,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,41,0.0017277343,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,42,0.0018703496,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,43,0.0020277277,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,44,0.0022013967,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,45,0.0023930429,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,46,0.0026045273,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,47,0.0028379034,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,48,0.0030954372,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,49,0.0033796295,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,50,0.0036932398,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,51,0.0040393133,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,52,0.0044212103,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,53,0.0048426393,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,54,0.0053076921,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,55,0.0058208847,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,56,0.0063872000,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,57,0.0070121372,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,58,0.0077017644,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,59,0.0084627779,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,60,0.0093025673,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,61,0.0102292869,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,62,0.0112519354,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,63,0.0123804428,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,64,0.0136257669,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,65,0.0150000000,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,66,0.0165164860,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
M,67,0.0181899502,[std] INSEE-shaped proxy; anchored so mort_be_factor x the male rate at 65 = 1.20% p.a.
