age,premium_per_10000,provenance
12,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
13,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
14,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
15,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
16,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
17,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
18,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
19,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
20,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
21,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
22,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
23,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
24,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
25,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
26,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
27,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
28,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
29,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
30,17,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
31,18,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
32,19,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
33,19,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
34,20,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
35,21,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
36,22,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
37,24,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
38,25,[S4 Annexe I] Spirica published tariff -- annual premium per 10 000 EUR of capital sous risque
