policy_year,lapse_rate,provenance
1,0.08,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]"
2,0.06,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]"
3,0.05,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]"
4,0.05,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]"
5,0.05,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]"
6,0.04,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]"
7,0.04,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]"
8,0.04,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]"
9,0.04,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]"
10,0.04,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]"
11,0.03,"[std] no French LTC persistency study is public; anchored only on the individual book falling 9.9% in 2024 on 28,400 new subscribers [R10] [REG-R28]; applies to policy year 11 onwards"
