sex,age,mort_rate,provenance
F,40,0.000437943594,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,41,0.000489190350,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,42,0.000546432199,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,43,0.000610370068,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,44,0.000681786736,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,45,0.000761556364,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,46,0.000850655134,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,47,0.000950173113,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,48,0.001061327497,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,49,0.001185477371,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,50,0.001324140176,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,51,0.001479010067,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,52,0.001651978373,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,53,0.001845156402,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,54,0.002060900838,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,55,0.002301842036,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,56,0.002570915517,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,57,0.002871397016,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,58,0.003206941466,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,59,0.003581626352,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,60,0.003999999861,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
F,61,0.004467134370,"[std] Gompertz proxy 1-exp(-B c^x), B=5.2321459244e-06 c=1.11704543, fitted to mort_rate(60)=0.00400 and mort_rate(90)=0.10500; INSEE-shaped, not TH 00-02 / TF 00-02 or TGH05 / TGF05 [REG-R24]"
