years_paid,coefficient,provenance
5,0.16,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
6,0.18,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
7,0.21,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
8,0.25,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
9,0.28,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
10,0.30,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
11,0.32,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
12,0.34,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
13,0.36,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
14,0.38,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
15,0.40,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
16,0.42,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
17,0.44,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
18,0.46,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
19,0.48,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
20,0.50,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
21,0.52,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
22,0.54,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
23,0.56,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
24,0.58,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
25,0.60,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
26,0.62,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
27,0.64,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
28,0.66,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
29,0.68,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated"
30,0.70,"CNP Banque de France bareme de maintien des garanties, in force 1 January 2012 [S5 annexe 2], which publishes a coefficient for every integer year 5-29 and for 30-and-over; no row here is interpolated; applies to 30 years and over"
