policy_year,lapse_rate,wd_rate,provenance
1,0.0250,0.0600,[std] no eurocroissance lapse experience is public
2,0.0250,0.0600,[std] no eurocroissance lapse experience is public
3,0.0250,0.0300,[std] no eurocroissance lapse experience is public
4,0.0250,0.0300,[std] no eurocroissance lapse experience is public
5,0.0250,0.0300,[std] no eurocroissance lapse experience is public
6,0.0250,0.0300,[std] no eurocroissance lapse experience is public
7,0.0250,0.0300,[std] no eurocroissance lapse experience is public
8,0.0250,0.0300,[std] no eurocroissance lapse experience is public
9,0.0250,0.0300,[std] no eurocroissance lapse experience is public
10,0.0250,0.0300,[std] no eurocroissance lapse experience is public
11,0.0250,0.0300,[std] no eurocroissance lapse experience is public
12,0.0250,0.0300,[std] no eurocroissance lapse experience is public
13,0.0250,0.0300,[std] no eurocroissance lapse experience is public
14,0.0250,0.0300,[std] no eurocroissance lapse experience is public
15,0.0250,0.0300,[std] no eurocroissance lapse experience is public
16,0.0250,0.0300,[std] no eurocroissance lapse experience is public
17,0.0250,0.0300,[std] no eurocroissance lapse experience is public
18,0.0250,0.0300,[std] no eurocroissance lapse experience is public
19,0.0250,0.0300,[std] no eurocroissance lapse experience is public
20,0.0250,0.0300,[std] no eurocroissance lapse experience is public
21,0.0250,0.0300,[std] no eurocroissance lapse experience is public
22,0.0250,0.0300,[std] no eurocroissance lapse experience is public
23,0.0250,0.0300,[std] no eurocroissance lapse experience is public
24,0.0250,0.0300,[std] no eurocroissance lapse experience is public
25,0.0250,0.0300,[std] no eurocroissance lapse experience is public
26,0.0250,0.0300,[std] no eurocroissance lapse experience is public
27,0.0250,0.0300,[std] no eurocroissance lapse experience is public
28,0.0250,0.0300,[std] no eurocroissance lapse experience is public
29,0.0250,0.0300,[std] no eurocroissance lapse experience is public
30,0.0250,0.0300,[std] no eurocroissance lapse experience is public
31,0.0250,0.0300,[std] no eurocroissance lapse experience is public
32,0.0250,0.0300,[std] no eurocroissance lapse experience is public
33,0.0250,0.0300,[std] no eurocroissance lapse experience is public
34,0.0250,0.0300,[std] no eurocroissance lapse experience is public
35,0.0250,0.0300,[std] no eurocroissance lapse experience is public
36,0.0250,0.0300,[std] no eurocroissance lapse experience is public
37,0.0250,0.0300,[std] no eurocroissance lapse experience is public
38,0.0250,0.0300,[std] no eurocroissance lapse experience is public
39,0.0250,0.0300,[std] no eurocroissance lapse experience is public
40,0.0250,0.0300,[std] no eurocroissance lapse experience is public
