point_id,policy_id,engagement_modality,issue_age,sex,policy_term,duration_ifo,premium_gross,premium_regular,premium_regular_years,premium_top_up,premium_top_up_t,guarantee_rate,entry_charge_rate,parts_charge_rate,perf_charge_rate,exit_charge_rate,surrender_indemnity_rate,part_value_init,min_part_value,lock_up_years,death_floor_flag,annuity_option_flag,wd_factor,apport_rate,apport_t,decrement_basis,scenario,own_assets_ifo,parts_ifo,mg_ifo,pm_ifo,cum_prem_net_ifo,pols_if_init
1,EC-000001,euro_and_parts,57,M,10,0,10000.00,0.00,0,2000.00,3,1.0000,0.0200,0.0080,0.1000,0.0000,0.0000,10.0000,5.0000,0,True,False,0.0000,0.0000,0,none,shock,0.00,0.0000,0.00,0.00,0.00,1.0000
2,EC-000002,parts_only,57,M,10,0,10000.00,0.00,0,2000.00,3,1.0000,0.0200,0.0080,0.1000,0.0000,0.0000,10.0000,5.0000,0,True,False,0.0000,0.0000,0,none,shock,0.00,0.0000,0.00,0.00,0.00,1.0000
3,EC-000003,euro_and_parts,57,M,10,0,10000.00,0.00,0,2000.00,3,0.8000,0.0200,0.0080,0.1000,0.0000,0.0000,10.0000,5.0000,0,True,False,0.0000,0.0000,0,none,shock,0.00,0.0000,0.00,0.00,0.00,1.0000
4,EC-000004,parts_only,57,M,10,0,10000.00,0.00,0,2000.00,3,1.0000,0.0200,0.0080,0.1000,0.0000,0.0000,10.0000,5.0000,0,True,False,0.0000,0.1000,6,none,shock,0.00,0.0000,0.00,0.00,0.00,1.0000
5,EC-000005,euro_and_parts,45,M,15,0,10000.00,0.00,0,0.00,0,1.0000,0.0200,0.0080,0.1000,0.0000,0.0000,10.0000,5.0000,0,True,False,1.0000,0.0000,0,table,base,0.00,0.0000,0.00,0.00,0.00,1.0000
6,EC-000006,parts_only,52,F,12,0,10000.00,0.00,0,0.00,0,1.0000,0.0200,0.0080,0.1000,0.0000,0.0000,10.0000,5.0000,0,True,False,0.0000,0.0000,0,table,downside,0.00,0.0000,0.00,0.00,0.00,1.0000
7,EC-000007,euro_and_parts,57,M,10,4,0.00,0.00,0,0.00,0,1.0000,0.0200,0.0080,0.1000,0.0000,0.0000,10.0000,5.0000,0,True,False,0.0000,0.0000,0,table,base,11212.47,189.3187,9800.00,8575.24,9800.00,1.0000
8,EC-000008,parts_only,61,M,10,0,10000.00,0.00,0,0.00,0,1.0000,0.0200,0.0080,0.1000,0.0100,0.0300,10.0000,5.0000,0,False,False,0.0000,0.0000,0,table,base,0.00,0.0000,0.00,0.00,0.00,1.0000
9,EC-000009,euro_and_parts,40,M,12,0,10000.00,1200.00,5,0.00,0,1.0000,0.0200,0.0080,0.1000,0.0000,0.0000,10.0000,5.0000,4,True,False,0.0000,0.0000,0,table,base,0.00,0.0000,0.00,0.00,0.00,1.0000
10,EC-000010,parts_only,50,F,20,0,10000.00,0.00,0,0.00,0,0.9000,0.0200,0.0080,0.1000,0.0000,0.0000,10.0000,5.0000,0,True,False,0.0000,0.0000,0,table,sloped,0.00,0.0000,0.00,0.00,0.00,1.0000
11,EC-000011,euro_and_parts,64,M,8,0,10000.00,0.00,0,0.00,0,0.7000,0.0200,0.0080,0.1000,0.0000,0.0000,10.0000,5.0000,0,True,False,0.0000,0.0000,0,table,zero_rate,0.00,0.0000,0.00,0.00,0.00,1.0000
