scenario,year,asset_return,provenance
shock,0,0.0000,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,1,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,2,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,3,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,4,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,5,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,6,-0.2500,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,7,0.0600,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,8,0.0600,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,9,0.0600,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,10,0.0600,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,11,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,12,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,13,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,14,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,15,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,16,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,17,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,18,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,19,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,20,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,21,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,22,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,23,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,24,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,25,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,26,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,27,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,28,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,29,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
shock,30,0.0400,[std] the notes' worked-example path - +4% to t=5 then -25% at t=6 then +6%
base,0,0.0000,[std] flat 4.0% p.a. - the notes' base asset return
