scenario,year,maturity,tec_rate,provenance
shock,0,1,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,0,2,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,0,5,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,0,10,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,0,20,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,0,30,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,1,1,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,1,2,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,1,5,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,1,10,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,1,20,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,1,30,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,2,1,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,2,2,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,2,5,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,2,10,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,2,20,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,2,30,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,3,1,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,3,2,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,3,5,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,3,10,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,3,20,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,3,30,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,4,1,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,4,2,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,4,5,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,4,10,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,4,20,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,4,30,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,5,1,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,5,2,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,5,5,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,5,10,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,5,20,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,5,30,0.025000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,6,1,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,6,2,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,6,5,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,6,10,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,6,20,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,6,30,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,7,1,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,7,2,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,7,5,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,7,10,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,7,20,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,7,30,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,8,1,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,8,2,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,8,5,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,8,10,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,8,20,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,8,30,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,9,1,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,9,2,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,9,5,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,9,10,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,9,20,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,9,30,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,10,1,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,10,2,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
shock,10,5,0.010000,[std] flat TEC 2.50% to t=5 then 1.00%; A. 134-1 90% haircut applies
