age,single_prem_rate,provenance
18,0.6790895999999997,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
19,0.6845807999999998,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
20,0.6900719999999998,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
21,0.6955631999999998,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
22,0.7010543999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
23,0.7065455999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
24,0.7120367999999998,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
25,0.7175279999999998,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
26,0.7230191999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
27,0.7285103999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
28,0.7340015999999998,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
29,0.7394927999999998,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
30,0.7449839999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
31,0.7504751999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
32,0.7559663999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
33,0.7614576,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
34,0.7669487999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
35,0.7724399999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
36,0.7779311999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
37,0.7834224,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
38,0.7889135999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
39,0.7944047999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
40,0.7998959999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
41,0.8053872,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
42,0.8108784,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
43,0.8163695999999999,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
44,0.8218608,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
45,0.827352,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
46,0.8328432,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
47,0.8383344,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
48,0.8438256,"[std] linear extrapolation from the [S5] anchors, clipped to [0.30, 1.00]"
