scale,month,surr_value,provenance
axa_50_viager,0,0.00,[std] no value at issue on a periodic-premium form
axa_50_viager,60,784.01,"[S14] AXA Serenova, entry 50, primes viageres"
axa_50_viager,120,1574.90,"[S14] AXA Serenova, entry 50, primes viageres"
axa_50_viager,180,2346.97,"[S14] AXA Serenova, entry 50, primes viageres"
axa_50_viager,240,3151.33,"[S14] AXA Serenova, entry 50, primes viageres"
axa_50_viager,300,3980.74,"[S14] AXA Serenova, entry 50, primes viageres"
axa_50_viager,360,4828.57,"[S14] AXA Serenova, entry 50, primes viageres"
axa_50_viager,420,5659.93,"[S14] AXA Serenova, entry 50, primes viageres"
axa_50_viager,480,6429.96,"[S14] AXA Serenova, entry 50, primes viageres"
axa_50_viager,540,7135.11,"[S14] AXA Serenova, entry 50, primes viageres"
axa_50_temp10,0,0.00,[std] no value at issue on a periodic-premium form
axa_50_temp10,60,2701.65,"[S14] AXA Serenova, entry 50, primes temporaires 10 ans"
axa_50_temp10,120,5767.93,"[S14] AXA Serenova, entry 50, primes temporaires 10 ans"
axa_50_temp10,180,6003.11,"[S14] AXA Serenova, entry 50, primes temporaires 10 ans"
axa_50_temp10,240,6256.67,"[S14] AXA Serenova, entry 50, primes temporaires 10 ans"
axa_50_temp10,300,6530.11,"[S14] AXA Serenova, entry 50, primes temporaires 10 ans"
axa_50_temp10,360,6824.80,"[S14] AXA Serenova, entry 50, primes temporaires 10 ans"
axa_50_temp10,420,7142.86,"[S14] AXA Serenova, entry 50, primes temporaires 10 ans"
axa_50_temp10,480,7485.99,"[S14] AXA Serenova, entry 50, primes temporaires 10 ans"
axa_50_temp10,540,7854.08,"[S14] AXA Serenova, entry 50, primes temporaires 10 ans"
cnp_50_viager,0,0.00,[std] no value at issue on a periodic-premium form
cnp_50_viager,60,650.15,"[S5] CNP Tresor Prevoyance, entry 50, primes viageres"
cnp_50_viager,120,1275.19,"[S5] CNP Tresor Prevoyance, entry 50, primes viageres"
cnp_50_viager,180,1876.68,"[S5] CNP Tresor Prevoyance, entry 50, primes viageres"
cnp_50_viager,240,2460.79,"[S5] CNP Tresor Prevoyance, entry 50, primes viageres"
cnp_50_viager,300,3004.02,"[S5] CNP Tresor Prevoyance, entry 50, primes viageres"
cnp_50_viager,360,3484.41,"[S5] CNP Tresor Prevoyance, entry 50, primes viageres"
cnp_50_viager,420,3876.12,"[S5] CNP Tresor Prevoyance, entry 50, primes viageres"
cnp_50_viager,480,4176.77,"[S5] CNP Tresor Prevoyance, entry 50, primes viageres"
cnp_50_viager,540,4399.53,"[S5] CNP Tresor Prevoyance, entry 50, primes viageres"
cnp_50_unique,0,4041.48,[std] linear back-extrapolation of the 60/120-month anchors
cnp_50_unique,60,4162.06,"[S5] CNP Tresor Prevoyance, entry 50, prime unique"
cnp_50_unique,120,4282.64,"[S5] CNP Tresor Prevoyance, entry 50, prime unique"
cnp_50_unique,180,4398.69,"[S5] CNP Tresor Prevoyance, entry 50, prime unique"
cnp_50_unique,240,4511.38,"[S5] CNP Tresor Prevoyance, entry 50, prime unique"
cnp_50_unique,300,4616.18,"[S5] CNP Tresor Prevoyance, entry 50, prime unique"
cnp_50_unique,360,4708.86,"[S5] CNP Tresor Prevoyance, entry 50, prime unique"
cnp_50_unique,420,4784.43,"[S5] CNP Tresor Prevoyance, entry 50, prime unique"
cnp_50_unique,480,4842.43,"[S5] CNP Tresor Prevoyance, entry 50, prime unique"
cnp_50_unique,540,4885.41,"[S5] CNP Tresor Prevoyance, entry 50, prime unique"
sogecap_70_viager,0,0.00,[std] no value at issue on a periodic-premium form
sogecap_70_viager,60,1148.00,"[S15] Sogecap BUDGET, entry 70, primes viageres"
sogecap_70_viager,120,2067.00,"[S15] Sogecap BUDGET, entry 70, primes viageres"
sogecap_70_viager,180,2808.00,"[S15] Sogecap BUDGET, entry 70, primes viageres"
sogecap_70_viager,240,3369.00,"[S15] Sogecap BUDGET, entry 70, primes viageres"
sogecap_70_viager,300,3775.00,"[S15] Sogecap BUDGET, entry 70, primes viageres"
sogecap_70_viager,360,4129.00,"[S15] Sogecap BUDGET, entry 70, primes viageres"
sogecap_70_viager,420,4473.00,"[S15] Sogecap BUDGET, entry 70, primes viageres"
sogecap_70_viager,480,5000.00,"[S15] Sogecap BUDGET, entry 70, primes viageres"
sogecap_70_viager,540,5000.00,"[S15] Sogecap BUDGET, entry 70, primes viageres"
mutex_50_temp25,0,0.00,[std] no value at issue on a periodic-premium form
mutex_50_temp25,60,981.00,"[S2] Mutex NEOBSIA, entry 50, primes temporaires 25 ans"
mutex_50_temp25,120,1958.00,"[S2] Mutex NEOBSIA, entry 50, primes temporaires 25 ans"
mutex_50_temp25,180,2933.00,"[S2] Mutex NEOBSIA, entry 50, primes temporaires 25 ans"
mutex_50_temp25,240,3938.00,"[S2] Mutex NEOBSIA, entry 50, primes temporaires 25 ans"
mutex_50_temp25,300,5074.00,"[S2] Mutex NEOBSIA, entry 50, primes temporaires 25 ans"
mutex_50_temp25,360,5057.00,"[S2] Mutex NEOBSIA, entry 50, primes temporaires 25 ans"
mutex_50_temp25,420,5043.00,"[S2] Mutex NEOBSIA, entry 50, primes temporaires 25 ans"
mutex_50_temp25,480,5033.00,"[S2] Mutex NEOBSIA, entry 50, primes temporaires 25 ans"
mutex_50_temp25,540,5026.00,"[S2] Mutex NEOBSIA, entry 50, primes temporaires 25 ans"
