allocation_profile,years_to_horizon,euro_share,uc_share,provenance
prudent,1,0.9,0.1,[R6 art. 1] regulatory minimum; band edges [std]
prudent,2,0.9,0.1,[R6 art. 1] regulatory minimum; band edges [std]
prudent,3,0.8,0.2,[R6 art. 1] regulatory minimum; band edges [std]
prudent,4,0.8,0.2,[R6 art. 1] regulatory minimum; band edges [std]
prudent,5,0.8,0.2,[R6 art. 1] regulatory minimum; band edges [std]
prudent,6,0.6,0.4,[R6 art. 1] regulatory minimum; band edges [std]
prudent,7,0.6,0.4,[R6 art. 1] regulatory minimum; band edges [std]
prudent,8,0.6,0.4,[R6 art. 1] regulatory minimum; band edges [std]
prudent,9,0.6,0.4,[R6 art. 1] regulatory minimum; band edges [std]
prudent,10,0.6,0.4,[R6 art. 1] regulatory minimum; band edges [std]
prudent,11,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,12,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,13,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,14,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,15,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,16,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,17,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,18,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,19,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,20,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,21,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,22,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,23,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,24,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,25,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,26,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,27,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,28,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,29,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,30,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,31,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,32,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,33,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,34,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,35,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,36,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,37,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,38,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,39,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,40,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,41,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,42,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,43,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,44,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
prudent,45,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,1,0.7,0.3,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,2,0.7,0.3,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,3,0.5,0.5,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,4,0.5,0.5,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,5,0.5,0.5,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,6,0.2,0.8,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,7,0.2,0.8,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,8,0.2,0.8,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,9,0.2,0.8,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,10,0.2,0.8,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,11,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,12,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,13,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,14,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,15,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,16,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,17,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,18,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,19,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,20,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,21,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,22,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,23,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,24,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,25,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,26,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,27,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,28,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,29,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,30,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,31,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,32,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,33,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,34,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,35,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,36,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,37,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,38,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,39,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,40,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,41,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,42,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,43,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,44,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
equilibre,45,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,1,0.5,0.5,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,2,0.5,0.5,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,3,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,4,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,5,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,6,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,7,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,8,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,9,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,10,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,11,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,12,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,13,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,14,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,15,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,16,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,17,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,18,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,19,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,20,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,21,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,22,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,23,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,24,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,25,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,26,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,27,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,28,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,29,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,30,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,31,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,32,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,33,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,34,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,35,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,36,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,37,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,38,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,39,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,40,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,41,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,42,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,43,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,44,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
dynamique,45,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,1,0.5,0.5,[R6 art. 1] regulatory minimum; band edges [std]
offensif,2,0.5,0.5,[R6 art. 1] regulatory minimum; band edges [std]
offensif,3,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
offensif,4,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
offensif,5,0.3,0.7,[R6 art. 1] regulatory minimum; band edges [std]
offensif,6,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,7,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,8,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,9,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,10,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,11,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,12,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,13,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,14,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,15,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,16,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,17,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,18,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,19,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,20,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,21,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,22,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,23,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,24,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,25,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,26,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,27,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,28,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,29,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,30,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,31,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,32,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,33,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,34,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,35,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,36,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,37,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,38,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,39,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,40,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,41,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,42,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,43,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,44,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
offensif,45,0.0,1.0,[R6 art. 1] regulatory minimum; band edges [std]
