sex,age,annuity_factor,provenance
M,55,28.75,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,56,28.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,57,27.25,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,58,26.5,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,59,25.75,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,60,25.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,61,24.25,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,62,23.5,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,63,22.75,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,64,22.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,65,21.25,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,66,20.5,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,67,19.75,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,68,19.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,69,18.25,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,70,17.5,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,71,16.75,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,72,16.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,73,15.25,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,74,14.5,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,75,13.75,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,76,13.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,77,12.25,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,78,11.5,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,79,10.75,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
M,80,10.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,55,32.2,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,56,31.4,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,57,30.6,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,58,29.8,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,59,29.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,60,28.2,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,61,27.4,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,62,26.6,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,63,25.8,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,64,25.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,65,24.2,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,66,23.4,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,67,22.6,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,68,21.8,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,69,21.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,70,20.2,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,71,19.4,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,72,18.6,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,73,17.8,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,74,17.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,75,16.2,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,76,15.4,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,77,14.6,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,78,13.8,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,79,13.0,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
F,80,12.2,[std] placeholder at a 0% technical rate; TGH05/TGF05 not shipped [REG-R21]
