compartment,duration,early_release_rate,transfer_out_rate,provenance
c1,1,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,2,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,3,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,4,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,5,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,6,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,7,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,8,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,9,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,10,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,11,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,12,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,13,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,14,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,15,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,16,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,17,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,18,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,19,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,20,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,21,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,22,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,23,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,24,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,25,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,26,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,27,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,28,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,29,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,30,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,31,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
c1,32,0.016,0.01,[std] split of the 2.62% aggregate of [R22]; c3 loses the main-residence case [R3 L. 224-4]
