sex,birth_year,age,mort_rate,provenance
M,1940,50,0.0013973626,[std] INSEE-shaped generational proxy
M,1940,51,0.0015227547,[std] INSEE-shaped generational proxy
M,1940,52,0.0016621499,[std] INSEE-shaped generational proxy
M,1940,53,0.0018171097,[std] INSEE-shaped generational proxy
M,1940,54,0.0019893691,[std] INSEE-shaped generational proxy
M,1940,55,0.0021808561,[std] INSEE-shaped generational proxy
M,1940,56,0.0023937123,[std] INSEE-shaped generational proxy
M,1940,57,0.0026303172,[std] INSEE-shaped generational proxy
M,1940,58,0.0028933138,[std] INSEE-shaped generational proxy
M,1940,59,0.0031856378,[std] INSEE-shaped generational proxy
M,1940,60,0.0035105494,[std] INSEE-shaped generational proxy
M,1940,61,0.0038716688,[std] INSEE-shaped generational proxy
M,1940,62,0.0042730158,[std] INSEE-shaped generational proxy
M,1940,63,0.0047190522,[std] INSEE-shaped generational proxy
M,1940,64,0.0052147307,[std] INSEE-shaped generational proxy
M,1940,65,0.0057655471,[std] INSEE-shaped generational proxy
M,1940,66,0.0063775988,[std] INSEE-shaped generational proxy
M,1940,67,0.0070576489,[std] INSEE-shaped generational proxy
M,1940,68,0.0078131971,[std] INSEE-shaped generational proxy
M,1940,69,0.0086525572,[std] INSEE-shaped generational proxy
M,1940,70,0.0095849425,[std] INSEE-shaped generational proxy
M,1940,71,0.0106205594,[std] INSEE-shaped generational proxy
M,1940,72,0.0117707097,[std] INSEE-shaped generational proxy
M,1940,73,0.0130479024,[std] INSEE-shaped generational proxy
M,1940,74,0.0144659755,[std] INSEE-shaped generational proxy
M,1940,75,0.0160402282,[std] INSEE-shaped generational proxy
M,1940,76,0.0177875648,[std] INSEE-shaped generational proxy
M,1940,77,0.0197266494,[std] INSEE-shaped generational proxy
M,1940,78,0.0218780721,[std] INSEE-shaped generational proxy
M,1940,79,0.0242645281,[std] INSEE-shaped generational proxy
M,1940,80,0.0269110072,[std] INSEE-shaped generational proxy
M,1940,81,0.0298449945,[std] INSEE-shaped generational proxy
M,1940,82,0.0330966814,[std] INSEE-shaped generational proxy
M,1940,83,0.0366991847,[std] INSEE-shaped generational proxy
M,1940,84,0.0406887714,[std] INSEE-shaped generational proxy
M,1940,85,0.0451050861,[std] INSEE-shaped generational proxy
M,1940,86,0.0499913771,[std] INSEE-shaped generational proxy
M,1940,87,0.0553947141,[std] INSEE-shaped generational proxy
M,1940,88,0.0613661907,[std] INSEE-shaped generational proxy
M,1940,89,0.0679611019,[std] INSEE-shaped generational proxy
M,1940,90,0.0752390846,[std] INSEE-shaped generational proxy
M,1940,91,0.0832642052,[std] INSEE-shaped generational proxy
M,1940,92,0.0921049773,[std] INSEE-shaped generational proxy
M,1940,93,0.1018342853,[std] INSEE-shaped generational proxy
M,1940,94,0.1125291892,[std] INSEE-shaped generational proxy
M,1940,95,0.1242705774,[std] INSEE-shaped generational proxy
M,1940,96,0.1371426324,[std] INSEE-shaped generational proxy
M,1940,97,0.1512320665,[std] INSEE-shaped generational proxy
M,1940,98,0.1666270813,[std] INSEE-shaped generational proxy
M,1940,99,0.1834159993,[std] INSEE-shaped generational proxy
M,1940,100,0.2016855138,[std] INSEE-shaped generational proxy
M,1940,101,0.2215185006,[std] INSEE-shaped generational proxy
M,1940,102,0.2429913394,[std] INSEE-shaped generational proxy
M,1940,103,0.2661706971,[std] INSEE-shaped generational proxy
M,1940,104,0.2911097424,[std] INSEE-shaped generational proxy
M,1940,105,0.3178437795,[std] INSEE-shaped generational proxy
M,1940,106,0.3463853239,[std] INSEE-shaped generational proxy
M,1940,107,0.3767186909,[std] INSEE-shaped generational proxy
M,1940,108,0.4087942267,[std] INSEE-shaped generational proxy
M,1940,109,0.4425223926,[std] INSEE-shaped generational proxy
M,1940,110,0.4777680072,[std] INSEE-shaped generational proxy
M,1940,111,0.5143450609,[std] INSEE-shaped generational proxy
M,1940,112,0.5520126316,[std] INSEE-shaped generational proxy
M,1940,113,0.5904725433,[std] INSEE-shaped generational proxy
M,1940,114,0.6293694994,[std] INSEE-shaped generational proxy
M,1940,115,0.6682944645,[std] INSEE-shaped generational proxy
M,1940,116,0.7067920371,[std] INSEE-shaped generational proxy
M,1940,117,0.7443724098,[std] INSEE-shaped generational proxy
M,1940,118,0.7805282220,[std] INSEE-shaped generational proxy
M,1940,119,0.8147561570,[std] INSEE-shaped generational proxy
M,1940,120,1.0000000000,[std] INSEE-shaped generational proxy
M,1941,50,0.0013833986,[std] INSEE-shaped generational proxy
M,1941,51,0.0015075386,[std] INSEE-shaped generational proxy
