reversion_pct,gen_diff_lo,gen_diff_hi,reversion_coeff,provenance
0.60,-99,-8,0.93,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.60,-7,-4,0.89,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.60,-3,3,0.81,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.60,4,7,0.76,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.60,8,15,0.66,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.60,16,23,0.58,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.60,24,29,0.53,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.60,30,34,0.49,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.60,35,39,0.47,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.60,40,44,0.42,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.60,45,99,0.35,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,-99,-8,0.91,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,-7,-4,0.86,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,-3,3,0.76,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,4,7,0.70,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,8,15,0.59,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,16,23,0.51,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,24,29,0.46,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,30,34,0.42,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,35,39,0.40,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,40,44,0.35,[S6 Art. 5.4.3] published coefficient; adoption [std]
0.80,45,99,0.29,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,-99,-8,0.89,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,-7,-4,0.83,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,-3,3,0.72,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,4,7,0.65,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,8,15,0.54,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,16,23,0.45,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,24,29,0.40,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,30,34,0.37,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,35,39,0.35,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,40,44,0.30,[S6 Art. 5.4.3] published coefficient; adoption [std]
1.00,45,99,0.24,[S6 Art. 5.4.3] published coefficient; adoption [std]
