schedule_id,policy_year,benefit_factor,provenance
constant,1,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,2,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,3,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,4,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,5,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,6,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,7,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,8,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,9,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,10,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,11,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,12,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,13,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,14,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,15,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,16,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,17,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,18,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,19,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,20,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,21,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,22,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,23,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,24,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,25,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,26,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,27,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,28,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,29,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,30,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,31,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,32,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,33,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,34,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,35,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,36,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,37,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,38,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,39,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,40,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,41,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,42,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,43,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,44,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,45,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,46,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,47,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,48,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,49,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,50,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,51,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,52,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,53,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,54,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,55,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,56,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
constant,57,1.0,[S1] [S2] [S3] [S6] [S7] [S8] [S9] capital constant
