age,mort_rate,provenance
18,0.0001273503,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
19,0.0001388119,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
20,0.0001513049,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
21,0.0001649224,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
22,0.0001797654,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
23,0.0001959443,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
24,0.0002135793,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
25,0.0002328014,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
26,0.0002537535,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
27,0.0002765913,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
28,0.0003014845,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
29,0.0003286182,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
30,0.0003581938,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
31,0.0003904312,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
32,0.00042557,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
33,0.0004638713,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
34,0.0005056198,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
35,0.0005511255,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
36,0.0006007268,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
37,0.0006547923,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
38,0.0007137236,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
39,0.0007779587,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
40,0.000847975,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
41,0.0009242927,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
42,0.0010074791,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
43,0.0010981522,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
44,0.0011969859,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
45,0.0013047146,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
46,0.0014221389,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
47,0.0015501314,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
48,0.0016896432,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
49,0.0018417111,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
50,0.0020074651,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
51,0.002188137,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
52,0.0023850693,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
53,0.0025997255,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
54,0.0028337008,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
55,0.0030887339,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
56,0.00336672,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
57,0.0036697248,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
58,0.004,[std] Gompertz proxy -- anchor q(58) = 0.00400
59,0.00436,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
60,0.0047524,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
61,0.005180116,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
62,0.0056463264,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
63,0.0061544958,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
64,0.0067084004,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
65,0.0073121565,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
66,0.0079702506,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
67,0.0086875731,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
68,0.0094694547,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
69,0.0103217056,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
70,0.0112506591,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
71,0.0122632184,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
72,0.0133669081,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
73,0.0145699298,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
74,0.0158812235,[std] Gompertz proxy 0.00400 x 1.09^(age-58)
