band_start,rate_per_100k,provenance
15,16.51,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
20,24.38,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
25,40.14,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
30,75.77,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
35,132.21,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
40,220.28,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
45,340.48,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
50,453.38,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
55,641.76,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
60,959.00,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
65,1406.59,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
70,1948.71,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
75,2306.96,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
80,2459.27,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
85,2497.39,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
90,2360.63,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
95,2275.13,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
100,1889.77,"[R5] [REG-R29] 全国がん登録 2023 罹患率 per 100k both sexes all sites C00-C96 by 5-year age band; band 100 is the 100+ open band. Attribution required by [REG-R29]: Cancer Statistics. Cancer Information Service, National Cancer Center, Japan (source: 全国がん登録)"
