policy_year,lapse_rate,provenance
1,0.090,[std] shared with the medical chassis; first ten years average 5.5% against the sourced 5.6% [REG-R31]
2,0.070,[std] shared with the medical chassis; first ten years average 5.5% against the sourced 5.6% [REG-R31]
3,0.060,[std] shared with the medical chassis; first ten years average 5.5% against the sourced 5.6% [REG-R31]
4,0.055,[std] shared with the medical chassis; first ten years average 5.5% against the sourced 5.6% [REG-R31]
5,0.050,[std] shared with the medical chassis; first ten years average 5.5% against the sourced 5.6% [REG-R31]
6,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
7,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
8,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
9,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
10,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
11,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
12,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
13,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
14,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
15,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
16,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
17,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
18,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
19,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
20,0.045,[std] shared with the medical chassis; years 6-20 plateau [REG-R31]
21,0.030,[std] shared with the medical chassis; ultimate; applies to year 21 onwards
