sex,age,mort_rate,provenance
M,20,0.00044663,"[std] third-sector mortality proxy; log-linear (geometric) graduation between the sourced anchors 男 q(0) = 0.00053 and 男 q(30) = 0.00041 [REG-R18]; interpolated, not a copy of the table [REG-R21]"
M,21,0.00044282,"[std] third-sector mortality proxy; log-linear (geometric) graduation between the sourced anchors 男 q(0) = 0.00053 and 男 q(30) = 0.00041 [REG-R18]; interpolated, not a copy of the table [REG-R21]"
M,22,0.00043905,"[std] third-sector mortality proxy; log-linear (geometric) graduation between the sourced anchors 男 q(0) = 0.00053 and 男 q(30) = 0.00041 [REG-R18]; interpolated, not a copy of the table [REG-R21]"
M,23,0.00043531,"[std] third-sector mortality proxy; log-linear (geometric) graduation between the sourced anchors 男 q(0) = 0.00053 and 男 q(30) = 0.00041 [REG-R18]; interpolated, not a copy of the table [REG-R21]"
M,24,0.00043160,"[std] third-sector mortality proxy; log-linear (geometric) graduation between the sourced anchors 男 q(0) = 0.00053 and 男 q(30) = 0.00041 [REG-R18]; interpolated, not a copy of the table [REG-R21]"
M,25,0.00042792,"[std] third-sector mortality proxy; log-linear (geometric) graduation between the sourced anchors 男 q(0) = 0.00053 and 男 q(30) = 0.00041 [REG-R18]; interpolated, not a copy of the table [REG-R21]"
M,26,0.00042428,"[std] third-sector mortality proxy; log-linear (geometric) graduation between the sourced anchors 男 q(0) = 0.00053 and 男 q(30) = 0.00041 [REG-R18]; interpolated, not a copy of the table [REG-R21]"
M,27,0.00042066,"[std] third-sector mortality proxy; log-linear (geometric) graduation between the sourced anchors 男 q(0) = 0.00053 and 男 q(30) = 0.00041 [REG-R18]; interpolated, not a copy of the table [REG-R21]"
M,28,0.00041708,"[std] third-sector mortality proxy; log-linear (geometric) graduation between the sourced anchors 男 q(0) = 0.00053 and 男 q(30) = 0.00041 [REG-R18]; interpolated, not a copy of the table [REG-R21]"
M,29,0.00041352,"[std] third-sector mortality proxy; log-linear (geometric) graduation between the sourced anchors 男 q(0) = 0.00053 and 男 q(30) = 0.00041 [REG-R18]; interpolated, not a copy of the table [REG-R21]"
M,30,0.00041,"[std] third-sector mortality proxy; ANCHOR — 男 q(30) = 0.00041 quoted from 第三分野標準生命表2018 [REG-R18]; a quoted rate inside a [std] construction, not a copy of the table [REG-R21]"
