sex,age,mort_rate,provenance
M,0,0.00081,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(0) = 0.00081 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
M,1,0.00056,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(1) = 0.00056 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
M,2,0.00035,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 1 and 3, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,3,0.00022,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(3) = 0.00022 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
M,4,0.00015,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 3 and 5, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,5,0.00010,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(5) = 0.00010 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
M,6,0.00010,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 5 and 10, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,7,0.00010,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 5 and 10, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,8,0.00010,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 5 and 10, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,9,0.00010,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 5 and 10, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,10,0.00010,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(10) = 0.00010 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
M,11,0.00012,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 10 and 15, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,12,0.00014,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 10 and 15, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,13,0.00016,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 10 and 15, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,14,0.00019,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 10 and 15, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,15,0.00023,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(15) = 0.00023 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
M,16,0.00030,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 15 and 17, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,17,0.00038,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(17) = 0.00038 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
M,18,0.00046,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(18) = 0.00046 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
M,19,0.00052,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - INTERPOLATED row: log-linear in ln q between the [REG-R18] anchors at ages 18 and 20, rounded to 5 dp; not an IAJ value and not a redistribution of the IAJ table [REG-R21]"
M,20,0.00059,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(20) = 0.00059 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
