policy_year,fx_ttm,provenance
1,159.43,"[S11] reference TTM published for 2026-08-19, the level the base run holds flat"
2,155.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
3,150.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
4,145.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
5,141.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
6,138.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
7,136.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
8,134.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
9,132.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
10,130.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
11,129.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
12,128.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
13,127.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
14,126.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
15,125.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
16,124.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
17,123.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
18,122.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
19,121.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
20,120.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
21,120.00,"[std] illustrative strengthening-yen path; not a forecast, and not used unless a model point sets fx_path"
