remaining_years,factor,provenance
1,1.010,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
2,2.016,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
3,3.018,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
4,4.016,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
5,5.010,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
6,6.000,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
7,6.986,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
8,7.968,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
9,8.946,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
10,9.921,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
11,10.891,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
12,11.858,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
13,12.821,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
14,13.780,"[S2] published nenkin no ikkatsu barai factor table, 1-14 remaining instalments, verbatim"
