table,sex,age,mort_rate,omega_age,provenance
death_cover_2018,M,18,0.00046,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(18) = 0.00046 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,20,0.00059,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(20) = 0.00059 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,22,0.00066,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(22) = 0.00066 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,25,0.00067,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(25) = 0.00067 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,30,0.00068,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(30) = 0.00068 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,31,0.00069,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(31) = 0.00069 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,32,0.00070,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(32) = 0.00070 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,33,0.00072,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(33) = 0.00072 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,34,0.00074,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(34) = 0.00074 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,35,0.00077,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(35) = 0.00077 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,40,0.00118,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(40) = 0.00118 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,45,0.00177,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(45) = 0.00177 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,50,0.00285,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(50) = 0.00285 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,55,0.00422,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(55) = 0.00422 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,60,0.00653,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(60) = 0.00653 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,65,0.01015,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(65) = 0.01015 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,70,0.01544,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(70) = 0.01544 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,75,0.02637,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(75) = 0.02637 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,80,0.05006,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(80) = 0.05006 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,85,0.09175,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(85) = 0.09175 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
death_cover_2018,M,90,0.15760,109,"[std] canonical jplib 生保標準生命表2018（死亡保険用）男 proxy - ANCHOR row: q(90) = 0.15760 is the sourced rate, read from the IAJ table and quoted under attribution [REG-R18]; the file as a whole is a [std] construction, not a redistribution of the IAJ table [REG-R21]"
