age_start,age_end,juryoritsu_per_100k,alos_days,inc_factor_m,inc_factor_f,provenance
20,24,137,10.5,1.00,1.45,"受療率 [R6] [REG-R26]; 平均在院日数 10.5 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
25,29,182,10.5,1.00,1.45,"受療率 [R6] [REG-R26]; 平均在院日数 10.5 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
30,34,239,10.5,1.00,1.45,"受療率 [R6] [REG-R26]; 平均在院日数 10.5 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
35,39,242,20.2,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 20.2 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
40,44,258,20.2,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 20.2 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
45,49,318,20.2,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 20.2 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
50,54,441,20.2,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 20.2 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
55,59,613,20.2,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 20.2 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
60,64,838,20.2,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 20.2 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
65,69,1117,35.5,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 35.5 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
70,74,1502,35.5,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 35.5 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
75,79,2033,35.5,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 35.5 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
80,84,2952,35.5,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 35.5 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
85,89,4413,35.5,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 35.5 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
90,120,6275,35.5,1.00,0.80,"受療率 [R6] [REG-R26]; 平均在院日数 35.5 d [R6] [REG-R27]; sex factors [std] (M 1.00, F 1.45 to 34 and 0.80 from 35) chosen so the incidence ordering crosses over between ages 30 and 40 [S3] [S8]"
